GP values	GP values (GFactor-corrected)	Counts (Pixels)	Counts (Pixels, Normalized)	Counts (Kernel-Smoothed)	Counts (Smoothed, Normalized)
-1	-1	1396	0.002013	2349	0.003388
-0.98	-0.9223	3302	0.004762	3786.6667	0.005461
-0.96	-0.8491	6662	0.009608	7099.3333	0.01024
-0.94	-0.7798	11334	0.01635	11760.3333	0.01696
-0.92	-0.7143	17285	0.02493	17442	0.02516
-0.9	-0.6522	23707	0.03419	23579	0.03401
-0.88	-0.5932	29745	0.0429	29608.6667	0.0427
-0.86	-0.5372	35374	0.05102	35053.3333	0.05056
-0.84	-0.4839	40041	0.05775	39651	0.05719
-0.82	-0.4331	43538	0.06279	42858	0.06181
-0.8	-0.3846	44995	0.0649	44736.3333	0.06452
-0.78	-0.3383	45676	0.06588	45363	0.06543
-0.76	-0.2941	45418	0.06551	45041	0.06496
-0.74	-0.2518	44029	0.0635	43858.3333	0.06326
-0.72	-0.2113	42128	0.06076	41719.6667	0.06017
-0.7	-0.1724	39002	0.05625	38909.3333	0.05612
-0.68	-0.1351	35598	0.05134	35472.6667	0.05116
-0.66	-0.09934	31818	0.04589	31860	0.04595
-0.64	-0.06494	28164	0.04062	28246.6667	0.04074
-0.62	-0.03185	24758	0.03571	24636.6667	0.03553
-0.6	0	20988	0.03027	21096	0.03043
-0.58	0.03067	17542	0.0253	17733	0.02558
-0.56	0.06024	14669	0.02116	14674.6667	0.02116
-0.54	0.08876	11813	0.01704	11975.6667	0.01727
-0.52	0.1163	9445	0.01362	9457	0.01364
-0.5	0.1429	7113	0.01026	7293	0.01052
-0.48	0.1685	5321	0.007674	5539.6667	0.00799
-0.46	0.1934	4185	0.006036	4156	0.005994
-0.44	0.2174	2962	0.004272	3100.6667	0.004472
-0.42	0.2406	2155	0.003108	2196.3333	0.003168
-0.4	0.2632	1472	0.002123	1544.6667	0.002228
-0.38	0.285	1007	0.001452	1061.3333	0.001531
-0.36	0.3061	705	0.001017	725	0.001046
-0.34	0.3266	463	0.0006678	506.6667	0.0007308
-0.32	0.3465	352	0.0005077	337.6667	0.000487
-0.3	0.3659	198	0.0002856	228.6667	0.0003298
-0.28	0.3846	136	0.0001961	143.3333	0.0002067
-0.26	0.4028	96	0.0001385	94.6667	0.0001365
-0.24	0.4206	52	0.000075	63	0.00009086
-0.22	0.4378	41	0.00005913	37.3333	0.00005384
-0.2	0.4545	19	0.0000274	25.3333	0.00003654
-0.18	0.4709	16	0.00002308	14.3333	0.00002067
-0.16	0.4867	8	0.00001154	10.3333	0.0000149
-0.14	0.5022	7	0.0000101	7.3333	0.00001058
-0.12	0.5172	7	0.0000101	5	7.2114E-6
-0.1	0.5319	1	1.4423E-6	3.3333	4.8076E-6
-0.08	0.5462	2	2.8846E-6	1	1.4423E-6
-0.06	0.5602	0	0	0.6667	9.6152E-7
-0.04	0.5738	0	0	0	0
-0.02	0.587	0	0	0	0
0	0.6	0	0	0	0
0.02	0.6126	0	0	0	0
0.04	0.625	0	0	0	0
0.06	0.6371	0	0	0	0
0.08	0.6489	0	0	0	0
0.1	0.6604	0	0	0	0
0.12	0.6716	0	0	0	0
0.14	0.6827	0	0	0	0
0.16	0.6934	0	0	0	0
0.18	0.704	0	0	0	0
0.2	0.7143	0	0	0	0
0.22	0.7244	0	0	0	0
0.24	0.7343	0	0	0	0
0.26	0.7439	0	0	0	0
0.28	0.7534	0	0	0	0
0.3	0.7627	0	0	0	0
0.32	0.7718	0	0	0	0
0.34	0.7807	0	0	0	0
0.36	0.7895	0	0	0	0
0.38	0.798	0	0	0	0
0.4	0.8065	0	0	0	0
0.42	0.8147	0	0	0	0
0.44	0.8228	0	0	0	0
0.46	0.8307	0	0	0	0
0.48	0.8385	0	0	0	0
0.5	0.8462	0	0	0	0
0.52	0.8537	0	0	0	0
0.54	0.861	0	0	0	0
0.56	0.8683	0	0	0	0
0.58	0.8754	0	0	0	0
0.6	0.8824	0	0	0	0
0.62	0.8892	0	0	0	0
0.64	0.896	0	0	0	0
0.66	0.9026	0	0	0	0
0.68	0.9091	0	0	0	0
0.7	0.9155	0	0	0	0
0.72	0.9218	0	0	0	0
0.74	0.928	0	0	0	0
0.76	0.9341	0	0	0	0
0.78	0.9401	0	0	0	0
0.8	0.9459	0	0	0	0
0.82	0.9517	0	0	0	0
0.84	0.9574	0	0	0	0
0.86	0.9631	0	0	0	0
0.88	0.9686	0	0	0	0
0.9	0.974	0	0	0	0
0.92	0.9794	0	0	0	0
0.94	0.9847	0	0	0	0
0.96	0.9898	0	0	0	0
0.98	0.995	0	0	0	0
