GP values	GP values (GFactor-corrected)	Counts (Pixels)	Counts (Pixels, Normalized)	Counts (Kernel-Smoothed)	Counts (Smoothed, Normalized)
-1	-1	7638	0.01321	7923	0.01371
-0.98	-0.9223	8208	0.0142	9275.3333	0.01604
-0.96	-0.8491	11980	0.02072	12173.3333	0.02106
-0.94	-0.7798	16332	0.02825	16304	0.0282
-0.92	-0.7143	20600	0.03563	20553.6667	0.03555
-0.9	-0.6522	24729	0.04278	24596.6667	0.04255
-0.88	-0.5932	28461	0.04923	28274.3333	0.04891
-0.86	-0.5372	31633	0.05472	31090	0.05378
-0.84	-0.4839	33176	0.05739	33213.3333	0.05745
-0.82	-0.4331	34831	0.06025	34481	0.05965
-0.8	-0.3846	35436	0.0613	35170.3333	0.06084
-0.78	-0.3383	35244	0.06097	35023.3333	0.06058
-0.76	-0.2941	34390	0.05949	34145	0.05906
-0.74	-0.2518	32801	0.05674	32769.6667	0.05669
-0.72	-0.2113	31118	0.05383	30880.3333	0.05342
-0.7	-0.1724	28722	0.04968	28677.3333	0.04961
-0.68	-0.1351	26192	0.04531	26152	0.04524
-0.66	-0.09934	23542	0.04072	23491	0.04064
-0.64	-0.06494	20739	0.03587	20709.6667	0.03582
-0.62	-0.03185	17848	0.03087	17924	0.03101
-0.6	0	15185	0.02627	15404	0.02665
-0.58	0.03067	13179	0.0228	13049.6667	0.02257
-0.56	0.06024	10785	0.01866	11003	0.01903
-0.54	0.08876	9045	0.01565	9106.3333	0.01575
-0.52	0.1163	7489	0.01295	7483.6667	0.01295
-0.5	0.1429	5917	0.01024	6067.3333	0.0105
-0.48	0.1685	4796	0.008296	4799	0.008301
-0.46	0.1934	3684	0.006373	3778	0.006535
-0.44	0.2174	2854	0.004937	2938.6667	0.005083
-0.42	0.2406	2278	0.003941	2301	0.00398
-0.4	0.2632	1771	0.003064	1806.6667	0.003125
-0.38	0.285	1371	0.002372	1382.6667	0.002392
-0.36	0.3061	1006	0.00174	1039.3333	0.001798
-0.34	0.3266	741	0.001282	772	0.001335
-0.32	0.3465	569	0.0009843	576.6667	0.0009975
-0.3	0.3659	420	0.0007265	429.6667	0.0007432
-0.28	0.3846	300	0.0005189	308.3333	0.0005334
-0.26	0.4028	205	0.0003546	220	0.0003806
-0.24	0.4206	155	0.0002681	153	0.0002647
-0.22	0.4378	99	0.0001713	109.3333	0.0001891
-0.2	0.4545	74	0.000128	72.3333	0.0001251
-0.18	0.4709	44	0.00007611	55.6667	0.00009629
-0.16	0.4867	49	0.00008476	39.3333	0.00006804
-0.14	0.5022	25	0.00004325	33.6667	0.00005824
-0.12	0.5172	27	0.00004671	22	0.00003806
-0.1	0.5319	14	0.00002422	17.6667	0.00003056
-0.08	0.5462	12	0.00002076	10	0.0000173
-0.06	0.5602	4	6.9193E-6	8	0.00001384
-0.04	0.5738	8	0.00001384	4.6667	8.0725E-6
-0.02	0.587	2	3.4596E-6	4	6.9193E-6
0	0.6	2	3.4596E-6	2	3.4596E-6
0.02	0.6126	2	3.4596E-6	1.6667	2.8830E-6
0.04	0.625	1	1.7298E-6	1	1.7298E-6
0.06	0.6371	0	0	0.6667	1.1532E-6
0.08	0.6489	1	1.7298E-6	0.3333	5.7661E-7
0.1	0.6604	0	0	0.3333	5.7661E-7
0.12	0.6716	0	0	0	0
0.14	0.6827	0	0	0	0
0.16	0.6934	0	0	0	0
0.18	0.704	0	0	0	0
0.2	0.7143	0	0	0	0
0.22	0.7244	0	0	0	0
0.24	0.7343	0	0	0	0
0.26	0.7439	0	0	0	0
0.28	0.7534	0	0	0	0
0.3	0.7627	0	0	0	0
0.32	0.7718	0	0	0	0
0.34	0.7807	0	0	0	0
0.36	0.7895	0	0	0	0
0.38	0.798	0	0	0	0
0.4	0.8065	0	0	0	0
0.42	0.8147	0	0	0	0
0.44	0.8228	0	0	0	0
0.46	0.8307	0	0	0	0
0.48	0.8385	0	0	0	0
0.5	0.8462	0	0	0	0
0.52	0.8537	0	0	0	0
0.54	0.861	0	0	0	0
0.56	0.8683	0	0	0	0
0.58	0.8754	0	0	0	0
0.6	0.8824	0	0	0	0
0.62	0.8892	0	0	0	0
0.64	0.896	0	0	0	0
0.66	0.9026	0	0	0	0
0.68	0.9091	0	0	0	0
0.7	0.9155	0	0	0	0
0.72	0.9218	0	0	0	0
0.74	0.928	0	0	0	0
0.76	0.9341	0	0	0	0
0.78	0.9401	0	0	0	0
0.8	0.9459	0	0	0	0
0.82	0.9517	0	0	0	0
0.84	0.9574	0	0	0	0
0.86	0.9631	0	0	0	0
0.88	0.9686	0	0	0	0
0.9	0.974	0	0	0	0
0.92	0.9794	0	0	0	0
0.94	0.9847	0	0	0	0
0.96	0.9898	0	0	0	0
0.98	0.995	0	0	0	0
