GP values	GP values (GFactor-corrected)	Counts (Pixels)	Counts (Pixels, Normalized)	Counts (Kernel-Smoothed)	Counts (Smoothed, Normalized)
-1	-1	14758	0.03272	13696.5	0.03036
-0.98	-0.9223	12635	0.02801	12687	0.02813
-0.96	-0.8491	10668	0.02365	11506.6667	0.02551
-0.94	-0.7798	11217	0.02487	11416.3333	0.02531
-0.92	-0.7143	12364	0.02741	12519.6667	0.02775
-0.9	-0.6522	13978	0.03099	13985.6667	0.031
-0.88	-0.5932	15615	0.03462	15364.6667	0.03406
-0.86	-0.5372	16501	0.03658	16526.3333	0.03664
-0.84	-0.4839	17463	0.03871	17362.6667	0.03849
-0.82	-0.4331	18124	0.04018	17986.6667	0.03987
-0.8	-0.3846	18373	0.04073	18496.3333	0.041
-0.78	-0.3383	18992	0.0421	18826	0.04173
-0.76	-0.2941	19113	0.04237	18870.6667	0.04183
-0.74	-0.2518	18507	0.04103	18716	0.04149
-0.72	-0.2113	18528	0.04107	18431.6667	0.04086
-0.7	-0.1724	18260	0.04048	18139.6667	0.04021
-0.68	-0.1351	17631	0.03909	17615.3333	0.03905
-0.66	-0.09934	16955	0.03759	16989.6667	0.03766
-0.64	-0.06494	16383	0.03632	16241.6667	0.03601
-0.62	-0.03185	15387	0.03411	15424	0.03419
-0.6	0	14502	0.03215	14416.3333	0.03196
-0.58	0.03067	13360	0.02962	13419.3333	0.02975
-0.56	0.06024	12396	0.02748	12419.6667	0.02753
-0.54	0.08876	11503	0.0255	11469.3333	0.02543
-0.52	0.1163	10509	0.0233	10524	0.02333
-0.5	0.1429	9560	0.02119	9547.6667	0.02117
-0.48	0.1685	8574	0.01901	8646	0.01917
-0.46	0.1934	7804	0.0173	7749.3333	0.01718
-0.44	0.2174	6870	0.01523	7002	0.01552
-0.42	0.2406	6332	0.01404	6232	0.01382
-0.4	0.2632	5494	0.01218	5568.3333	0.01234
-0.38	0.285	4879	0.01082	4936.6667	0.01094
-0.36	0.3061	4437	0.009836	4342.6667	0.009627
-0.34	0.3266	3712	0.008229	3832	0.008495
-0.32	0.3465	3347	0.00742	3339	0.007402
-0.3	0.3659	2958	0.006557	2951	0.006542
-0.28	0.3846	2548	0.005649	2556.3333	0.005667
-0.26	0.4028	2163	0.004795	2224.3333	0.004931
-0.24	0.4206	1962	0.004349	1944.3333	0.00431
-0.22	0.4378	1708	0.003786	1682.6667	0.00373
-0.2	0.4545	1378	0.003055	1452.3333	0.00322
-0.18	0.4709	1271	0.002818	1226.6667	0.002719
-0.16	0.4867	1031	0.002286	1089	0.002414
-0.14	0.5022	965	0.002139	920.3333	0.00204
-0.12	0.5172	765	0.001696	805	0.001785
-0.1	0.5319	685	0.001519	678.3333	0.001504
-0.08	0.5462	585	0.001297	580.3333	0.001287
-0.06	0.5602	471	0.001044	491.6667	0.00109
-0.04	0.5738	419	0.0009289	407	0.0009023
-0.02	0.587	331	0.0007338	349.3333	0.0007744
0	0.6	298	0.0006606	296	0.0006562
0.02	0.6126	259	0.0005742	259	0.0005742
0.04	0.625	220	0.0004877	217.6667	0.0004825
0.06	0.6371	174	0.0003857	188.6667	0.0004182
0.08	0.6489	172	0.0003813	157.3333	0.0003488
0.1	0.6604	126	0.0002793	135.6667	0.0003008
0.12	0.6716	109	0.0002416	112.3333	0.000249
0.14	0.6827	102	0.0002261	99.3333	0.0002202
0.16	0.6934	87	0.0001929	83.3333	0.0001847
0.18	0.704	61	0.0001352	64	0.0001419
0.2	0.7143	44	0.00009754	49.3333	0.0001094
0.22	0.7244	43	0.00009533	39	0.00008646
0.24	0.7343	30	0.00006651	35.6667	0.00007907
0.26	0.7439	34	0.00007537	29	0.00006429
0.28	0.7534	23	0.00005099	25	0.00005542
0.3	0.7627	18	0.0000399	19	0.00004212
0.32	0.7718	16	0.00003547	14.3333	0.00003178
0.34	0.7807	9	0.00001995	11.6667	0.00002586
0.36	0.7895	10	0.00002217	10.3333	0.00002291
0.38	0.798	12	0.0000266	10.3333	0.00002291
0.4	0.8065	9	0.00001995	9	0.00001995
0.42	0.8147	6	0.0000133	6.3333	0.00001404
0.44	0.8228	4	8.8674E-6	4	8.8674E-6
0.46	0.8307	2	4.4337E-6	2.6667	5.9116E-6
0.48	0.8385	2	4.4337E-6	1.3333	2.9558E-6
0.5	0.8462	0	0	0.6667	1.4779E-6
0.52	0.8537	0	0	0.3333	7.3895E-7
0.54	0.861	1	2.2169E-6	0.3333	7.3895E-7
0.56	0.8683	0	0	0.6667	1.4779E-6
0.58	0.8754	1	2.2169E-6	0.3333	7.3895E-7
0.6	0.8824	0	0	0.3333	7.3895E-7
0.62	0.8892	0	0	0	0
0.64	0.896	0	0	0	0
0.66	0.9026	0	0	0.3333	7.3895E-7
0.68	0.9091	1	2.2169E-6	0.6667	1.4779E-6
0.7	0.9155	1	2.2169E-6	1	2.2169E-6
0.72	0.9218	1	2.2169E-6	0.6667	1.4779E-6
0.74	0.928	0	0	0.3333	7.3895E-7
0.76	0.9341	0	0	0	0
0.78	0.9401	0	0	0	0
0.8	0.9459	0	0	0	0
0.82	0.9517	0	0	0	0
0.84	0.9574	0	0	0	0
0.86	0.9631	0	0	0	0
0.88	0.9686	0	0	0	0
0.9	0.974	0	0	0	0
0.92	0.9794	0	0	0	0
0.94	0.9847	0	0	0	0
0.96	0.9898	0	0	0	0
0.98	0.995	0	0	0	0
