sp	temp_incu	gp	count
Bath_fost	10	0.48	44307
Bath_fost	10	0.5	38519
Bath_fost	10	0.52	32526
Bath_fost	10	0.54	26839
Bath_fost	10	0.56	21537
Bath_fost	10	0.58	17438
Bath_fost	10	0.6	13745
Bath_fost	10	0.62	10972
Bath_fost	10	0.64	8575
Bath_fost	10	0.66	6821
Bath_fost	10	0.68	5363
Bath_fost	10	0.7	4350
Bath_fost	10	0.72	3395
Bath_fost	10	0.74	2780
Bath_fost	10	0.76	2376
Bath_fost	10	0.78	1884
Bath_fost	10	0.8	1691
Bath_fost	10	0.82	1319
Bath_fost	10	0.84	1158
Bath_fost	10	0.86	1034
Bath_fost	10	0.88	994
Bath_fost	10	0.9	872
Bath_fost	10	0.92	815
Bath_fost	10	0.94	719
Bath_fost	10	0.96	684
Bath_fost	10	0.98	887
Bath_fost	10	1	0
Bath_fost	20	-1	0
Bath_fost	20	-0.98	0
Bath_fost	20	-0.96	0
Bath_fost	20	-0.94	0
Bath_fost	20	-0.92	0
Bath_fost	20	-0.9	0
Bath_fost	20	-0.88	0
Bath_fost	20	-0.86	0
Bath_fost	20	-0.84	0
Bath_fost	20	-0.82	0
Bath_fost	20	-0.8	0
Bath_fost	20	-0.78	0
Bath_fost	20	-0.76	0
Bath_fost	20	-0.74	0
Bath_fost	20	-0.72	0
Bath_fost	20	-0.7	0
Bath_fost	20	-0.68	0
Bath_fost	20	-0.66	0
Bath_fost	20	-0.64	0
Bath_fost	20	-0.62	0
Bath_fost	20	-0.6	0
Bath_fost	20	-0.58	0
Bath_fost	20	-0.56	0
Bath_fost	20	-0.54	0
Bath_fost	20	-0.52	0
Bath_fost	20	-0.5	0
Bath_fost	20	-0.48	0
Bath_fost	20	-0.46	0
Bath_fost	20	-0.44	0
Bath_fost	20	-0.42	0
Bath_fost	20	-0.4	0
Bath_fost	20	-0.38	0
Bath_fost	20	-0.36	0
Bath_fost	20	-0.34	0
Bath_fost	20	-0.32	0
Bath_fost	20	-0.3	0
Bath_fost	20	-0.28	0
Bath_fost	20	-0.26	0
Bath_fost	20	-0.24	0
Bath_fost	20	-0.22	0
Bath_fost	20	-0.2	0
Bath_fost	20	-0.18	2
Bath_fost	20	-0.16	1
Bath_fost	20	-0.14	2
Bath_fost	20	-0.12	4
Bath_fost	20	-0.1	2
Bath_fost	20	-0.08	9
Bath_fost	20	-0.06	16
Bath_fost	20	-0.04	28
Bath_fost	20	-0.02	56
Bath_fost	20	0	79
Bath_fost	20	0.02	119
Bath_fost	20	0.04	215
Bath_fost	20	0.06	321
Bath_fost	20	0.08	465
Bath_fost	20	0.1	680
Bath_fost	20	0.12	1132
Bath_fost	20	0.14	1624
Bath_fost	20	0.16	2362
Bath_fost	20	0.18	3238
Bath_fost	20	0.2	4517
Bath_fost	20	0.22	6194
Bath_fost	20	0.24	8087
Bath_fost	20	0.26	10596
Bath_fost	20	0.28	13259
Bath_fost	20	0.3	15757
Bath_fost	20	0.32	18472
Bath_fost	20	0.34	20871
Bath_fost	20	0.36	22607
Bath_fost	20	0.38	23691
Bath_fost	20	0.4	24199
Bath_fost	20	0.42	23480
Bath_fost	20	0.44	22224
Bath_fost	20	0.46	20777
Bath_fost	20	0.48	18502
Bath_fost	20	0.5	16498
Bath_fost	20	0.52	14048
Bath_fost	20	0.54	11692
Bath_fost	20	0.56	9548
Bath_fost	20	0.58	7405
Bath_fost	20	0.6	5716
Bath_fost	20	0.62	4315
Bath_fost	20	0.64	3089
Bath_fost	20	0.66	2113
Bath_fost	20	0.68	1430
Bath_fost	20	0.7	909
Bath_fost	20	0.72	505
Bath_fost	20	0.74	306
Bath_fost	20	0.76	147
Bath_fost	20	0.78	73
Bath_fost	20	0.8	31
Bath_fost	20	0.82	12
Bath_fost	20	0.84	5
Bath_fost	20	0.86	1
Bath_fost	20	0.88	0
Bath_fost	20	0.9	0
Bath_fost	20	0.92	0
Bath_fost	20	0.94	0
Bath_fost	20	0.96	0
Bath_fost	20	0.98	0
Boli_infu	2	-1	0
Boli_infu	2	-0.98	0
Boli_infu	2	-0.96	0
Boli_infu	2	-0.94	0
Boli_infu	2	-0.92	0
Boli_infu	2	-0.9	0
Boli_infu	2	-0.88	0
Boli_infu	2	-0.86	0
Boli_infu	2	-0.84	0
Boli_infu	2	-0.82	0
Boli_infu	2	-0.8	0
Boli_infu	2	-0.78	0
Boli_infu	2	-0.76	0
Boli_infu	2	-0.74	0
Boli_infu	2	-0.72	0
Boli_infu	2	-0.7	0
Boli_infu	2	-0.68	0
Boli_infu	2	-0.66	0
Boli_infu	2	-0.64	0
Boli_infu	2	-0.62	0
Boli_infu	2	-0.6	0
Boli_infu	2	-0.58	0
Boli_infu	2	-0.56	0
Boli_infu	2	-0.54	0
Boli_infu	2	-0.52	0
Boli_infu	2	-0.5	0
Boli_infu	2	-0.48	1
Boli_infu	2	-0.46	0
Boli_infu	2	-0.44	2
Boli_infu	2	-0.42	0
Boli_infu	2	-0.4	2
Boli_infu	2	-0.38	1
Boli_infu	2	-0.36	1
Boli_infu	2	-0.34	0
Boli_infu	2	-0.32	2
Boli_infu	2	-0.3	4
Boli_infu	2	-0.28	3
Boli_infu	2	-0.26	0
Boli_infu	2	-0.24	7
Boli_infu	2	-0.22	3
Boli_infu	2	-0.2	7
Boli_infu	2	-0.18	10
Boli_infu	2	-0.16	20
Boli_infu	2	-0.14	12
Boli_infu	2	-0.12	24
Boli_infu	2	-0.1	24
Boli_infu	2	-0.08	36
Boli_infu	2	-0.06	30
Boli_infu	2	-0.04	40
Boli_infu	2	-0.02	56
Boli_infu	2	0	60
Boli_infu	2	0.02	97
Boli_infu	2	0.04	125
Boli_infu	2	0.06	146
Boli_infu	2	0.08	201
Boli_infu	2	0.1	204
Boli_infu	2	0.12	237
Boli_infu	2	0.14	307
Boli_infu	2	0.16	342
Boli_infu	2	0.18	409
Boli_infu	2	0.2	519
Boli_infu	2	0.22	632
Boli_infu	2	0.24	672
Boli_infu	2	0.26	788
Boli_infu	2	0.28	965
Boli_infu	2	0.3	1108
Boli_infu	2	0.32	1234
Boli_infu	2	0.34	1450
Boli_infu	2	0.36	1704
Boli_infu	2	0.38	1902
Boli_infu	2	0.4	2121
Boli_infu	2	0.42	2341
Boli_infu	2	0.44	2596
Boli_infu	2	0.46	2868
Boli_infu	2	0.48	3167
Boli_infu	2	0.5	3557
Boli_infu	2	0.52	3796
Boli_infu	2	0.54	4184
Boli_infu	2	0.56	4398
Boli_infu	2	0.58	4818
Boli_infu	2	0.6	5092
Boli_infu	2	0.62	5279
Boli_infu	2	0.64	5502
Boli_infu	2	0.66	5735
Boli_infu	2	0.68	5968
Boli_infu	2	0.7	6089
Boli_infu	2	0.72	6194
Boli_infu	2	0.74	6166
Boli_infu	2	0.76	6166
Boli_infu	2	0.78	5992
Boli_infu	2	0.8	5929
Boli_infu	2	0.82	5543
Boli_infu	2	0.84	5301
Boli_infu	2	0.86	4766
Boli_infu	2	0.88	4298
Boli_infu	2	0.9	3791
Boli_infu	2	0.92	3161
Boli_infu	2	0.94	2775
Boli_infu	2	0.96	2786
Boli_infu	2	0.98	3435
Boli_infu	10	-1	0
