N	Nu	chi2	comment	d	dof	eta1	offs	q	rhor	scal	sigC	sigH	zH	shot	time	N_err	Nu_err	d_err	eta1_err	offs_err	rhor_err	scal_err	sigC_err	zH_err
18.24362066858936	12.731863736634594	43438735.85902599	[]	149.94001555783092	497.0	0.4900091948923996	0.2293444855737112	@->X	-1.815457121367705	8.948051981295541e-07	3.172174249527993	3.0	16.058124433527045	S3_PEO_08C_155MPa_X1_Y7_mcg.par	20220202 155602									
12.229006237940682	5.668015126639817	18816200.8213045	[]	149.9394917011315	497.0	0.5423331899326874	0.2509969316957265	@->X	-1.8641439989893875	1.7126591582989245e-06	4.139841000208898	3.0	8.14281122835808	S3_PEO_12C_155MPa_X2_Y7_mcg.par	20220202 155556									
2.00000057395748	20.47558466084576	10540569.149084942	[]	7485.554019574235	491.0	0.7374626106705132	0.2136519981738555	@->X	-0.6766134138684755	2.2665488122011504e-05	8.820504120797851	3.0	5.849184626253099	S3_PEO_12C_066MPa_X2_Y3_mcg.par	20220202 152150									
23.182390168727174	2.379779552081509e-07	3228715.479502215	[]	991.5495939311552	491.0	0.6616856388478518	0.2847276447668911	@->X	-2.906926722045477	1.3733584758344308e-05	1.9283080556145704	3.0	1.823980228233796	S3_PEO_12C_000MPa_X2_Y0_mcg.par	20220202 152238									
2.0000001221546198	11.336029474995236	3145401.725981429	[]	994.950182524898	491.0	0.3556561809085034	0.3027987049889696	@->X	-2.080783597082036	3.2897350028392264e-06	2.2908555921826714	3.0	5.276971484279289	S3_PEO_12C_133MPa_X2_Y6_mcg.par	20220202 152238									
2.000002531983395	18.80535889730576	1998219.546571464	[]	3777.976882170177	491.0	0.5035896630293855	0.3428599211796146	@->X	-1.3283085622384876	9.20846423784371e-06	4.122347060319035	3.0	4.374277114163192	S3_PEO_12C_088MPa_X2_Y4_mcg.par	20220202 152213									
10.315504526935182	1.6030590357257257e-07	1108239.696192333	[]	1919.4423356106483	491.0	0.6833735110466417	0.3534387464822446	@->X	-2.014053765370338	6.13007179960771e-06	3.369849535993128	3.0	3.998500110278111	S3_PEO_12C_022MPa_X2_Y1_mcg.par	20220202 152214									
27.844345829605828	5.229534934097482e-07	988691.4227503756	[]	62.12988022370214	491.0	1.4167854835872498	0.3227746211913899	@->X	-3.307637687801732	1.5993399442912069e-06	2.1763737699087717	3.0	3.0764762450766745	S3_PEO_12C_200MPa_X2_Y9_mcg.par	20220202 155610	300.2375477777241	0.4836571685650609	4.176143122888662	0.5065946306168971	0.0522258638773799	16.408336648034975	2.820288575780361e-05	7.661864811574633	13.52549465075202
20.317935962048484	3.234526912246247e-07	927807.2384337786	[]	96.66296389843062	491.0	1.1868921772826098	0.3625807489313403	@->X	-1.7637833853527431	8.432804589557138e-07	4.102440612325244	3.0	6.225554826512802	S3_PEO_12C_177MPa_X2_Y8_mcg.par	20220202 155602	314.01621781228187	0.4193912938087677	6.449563662221365	0.7959191980014425	0.0053467955968687	6.251749226350309	1.3913470212988369e-05	11.935490599952209	0.4536724800705863
2.00000344082391	15.811510225513343	859180.0891563544	[]	1925.0511196764048	491.0	0.4189023007414914	0.3661425457919494	@->X	-1.2270191663159655	7.847799980790185e-06	5.375507530678947	3.0	4.987588619285036	S3_PEO_12C_111MPa_X2_Y5_mcg.par	20220202 152229									
