N	N_err	Nu	Nu_err	chi2	comment	d	d_err	dof	eta1	eta1_err	offs	offs_err	q	rhor	rhor_err	scal	scal_err	sigC	sigC_err	sigH	zH	zH_err	shot	time
24.967699967493832	61.50165353819002	1.0797227740073897e-08	0.0935512439495552	23679405.567400947	[]	135.96154383377305	3.4447468036129534	491.0	0.0938966205286498	0.0471289773523775	0.0782870640305881	0.066011929924413	@->X	-2.283208561886258	3.735912410057613	3.646165684950234e-06	1.0175683131949564e-05	1.755697961158185	3.406076166825491	3.0	6.147869983398303	1.713834110709916	S3_PEO_12C_044MPa_X2_Y2_mcg.par	20220202 145719
24.96791671344666	73.20879733923918	2.5567845022433616e-07	0.6654923292144715	23281312.954331025	[]	135.51037163868327	3.776942662918783	491.0	0.0937579724922649	0.048451758093063	0.0837504754169093	0.0653551234876003	@->X	-2.248117417822725	3.757624675789329	3.5112394148340903e-06	1.1328263089787176e-05	1.784951754482643	3.544556786177212	3.0	6.204719840407779	1.7781610316280982	S3_PEO_12C_066MPa_X2_Y3_mcg.par	20220202 145630
24.791305721389207	56.79628800104059	2.1020765841811746e-07	0.5836956476009911	16201507.406918256	[]	95.18497875363737	1.418155853792185	491.0	0.156457128367094	0.0485345060444987	0.1647406335101856	0.0408052948207584	@->X	-1.9372407262454163	3.395162096083241	2.076665459753744e-06	5.923266087569733e-06	2.3913290137450547	4.973052971989719	3.0	6.67951260289604	2.754783529536315	S3_PEO_12C_200MPa_X2_Y9_mcg.par	20220202 145703
24.777578594445934	53.11914481383517	2.548182855281088e-07	0.6440350879259308	16010544.99074034	[]	96.40008768261949	1.4650118386377844	491.0	0.1506969995217086	0.0483095614962311	0.1456439097580775	0.0503758454878887	@->X	-1.9120939622935649	3.6313817806407593	3.618323100580476e-06	1.5135674486061797e-05	2.614312846668141	6.065727423223393	3.0	5.631102776700729	4.1168046478558935	S3_PEO_12C_133MPa_X2_Y6_mcg.par	20220202 145656
24.522857132179343	53.03702374922901	1.2157229978680152e-07	0.3514540217714001	11122031.24534762	[]	98.69260738571684	1.260322223490128	491.0	0.1688087170999224	0.0853102107610454	0.211616207970708	0.0356958020762269	@->X	-1.8045479285772037	3.605954746282389	2.787406754742275e-06	1.2350127577634596e-05	2.7723111241412286	6.760350732479084	3.0	5.870664311079718	4.201472714894698	S3_PEO_12C_000MPa_X2_Y0_mcg.par	20220202 145621
24.625745579877503	69.25952855777886	3.521202198052041e-07	0.807257603944645	7590056.602082767	[]	124.83372593729366	3.264411950967847	491.0	0.0990895749971174	0.0342707575297333	0.2544308368476897	0.0167096710009942	@->X	-1.3425205277059225	5.491839561720108	2.706977767431214e-06	2.4069466727036535e-05	4.001662362796568	18.66568349328586	3.0	6.259190060510048	1.7480713079474268	S3_PEO_12C_155MPa_X2_Y7_mcg.par	20220202 145649
24.588881069743188	195.329347637054	1.517259935376611e-06	2.620954785185772	4413726.222418361	[]	79.50629274203305	1.837293839259964	491.0	0.2210526042324217	0.0748942931071262	0.2773186884383178	0.0352004152697683	@->X	-2.719651854730264	4.912491517409359	1.268911327093108e-06	1.0310906247773623e-05	2.0892292218285204	3.911187540275773	3.0	5.657149101816611	2.9403317353673795	S3_PEO_12C_088MPa_X2_Y4_mcg.par	20220202 145647
23.715834106969176	68.37019688206749	2.3597326279860416e-06	3.566873518428303	3603048.6627592007	[]	104.07652221401467	1.829816921910372	491.0	0.2019045700393014	0.1945506245292817	0.2915301530981399	0.0279324615017175	@->X	-1.8885616498621252	5.672417741922664	3.962103047435692e-06	4.975446175695728e-05	2.867541990911641	10.586950995612195	3.0	4.443047516890084	8.682873870435664	S3_PEO_12C_111MPa_X2_Y5_mcg.par	20220202 145605
24.90227381875809	319.9667467245055	8.622529763447037e-07	2.87073378418316	2782966.202890069	[]	125.71922288512214	4.378530093250483	491.0	0.1150845681966694	0.055673723621622	0.0729799297262201	0.0099652749346477	@->X	-1.5146805876256249	2.428186268590033	7.11772330319413e-07	9.094740886575783e-06	3.1039651929705805	5.946809816261427	3.0	8.558120951413999	2.7038130096559803	S3_PEO_08C_088MPa_X1_Y4_mcg.par	20220202 145606
24.92223963339364	247.3160747484555	6.403830885213129e-07	2.261718881531793	2315009.143011756	[]	125.63827042064251	6.097779452705661	491.0	0.1279114055512031	0.0771140536251791	0.0782123770738719	0.0152931757872853	@->X	-1.7217191762294048	3.127163539723327	9.38788493314926e-07	9.553947597941608e-06	2.83789027422174	6.122553451470694	3.0	7.406725333658832	3.2604696167131446	S3_PEO_08C_066MPa_X1_Y3_mcg.par	20220202 145626
