																																																																																																									
	JWL0034		0.07	2.36	0.13	4.48	0.70	1.83	2.15	ND	2.34	0.33	7.05	23.81	0.08	ND	0.13	0.09	0.06	0.32	1.16	0.35	0.90	2.40	0.54	0.47	2.31	0.44	1.33	2.18	0.96	2.79	157.33	15.84	ND	4.70	4.95	0.47	0.92	1.59	0.78	0.10	0.72	0.88	0.48	2.08	51.70	65.37	93.05	3.86	2.91	ND	ND	1.73	0.72	4.17	0.73	0.73	ND	1.89	ND	0.78	41.62	42.38	10.13	35.20	2.05	7.22	2.34	1.88	ND	0.77	ND	1.13	0.27	0.15	0.45	1.46	ND	0.32	0.92	26.30	0.67	7.01	1.17	ND	2.29	28.10	ND	0.09	0.94	0.56	0.60	0.24	ND	ND	0.74	0.74	ND	17.00	0.57	ND	ND	ND	1.34
	JWL0039		ND	0.75	ND	2.93	0.35	0.33	0.94	0.16	0.88	0.12	3.52	3.38	0.10	ND	ND	ND	ND	0.12	0.26	ND	1.10	0.91	0.39	0.12	0.83	0.47	0.23	1.09	0.69	3.10	72.06	2.13	0.12	3.37	2.18	0.16	0.50	0.45	0.31	ND	ND	0.95	0.61	ND	51.62	15.81	38.97	2.62	3.24	0.16	0.38	1.00	0.20	1.44	0.34	0.34	ND	1.12	ND	0.93	14.53	28.23	5.42	9.04	0.43	2.63	1.34	1.28	0.27	ND	0.12	0.22	0.10	ND	0.19	0.79	ND	0.34	0.44	8.73	0.30	3.20	0.78	ND	1.19	16.75	ND	0.18	0.54	0.23	0.18	ND	0.07	0.14	0.30	0.48	ND	7.80	0.16	ND	ND	ND	1.22
	JWL0042		0.10	0.30	0.13	1.37	0.57	ND	ND	ND	ND	ND	ND	0.08	ND	0.39	ND	ND	ND	ND	ND	ND	1.46	0.35	ND	ND	ND	0.13	ND	ND	ND	ND	1.87	ND	ND	0.12	0.35	ND	ND	0.27	0.52	ND	ND	0.08	0.28	ND	3.50	ND	4.40	ND	ND	ND	ND	ND	ND	1.66	ND	ND	0.16	ND	ND	0.64	ND	12.27	0.15	0.80	0.25	ND	ND	ND	ND	ND	0.50	ND	0.16	0.21	ND	ND	ND	ND	ND	1.94	ND	0.32	ND	ND	ND	0.17	ND	ND	ND	ND	0.08	ND	ND	ND	ND	ND	ND	0.31	ND	ND	ND	ND	0.22
	JWL0043		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.12	ND	ND	ND	ND	ND	0.04	0.54	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.67	ND	ND	ND	0.16	ND	0.06	0.17	ND	ND	ND	ND	ND	ND	1.30	ND	2.68	ND	ND	ND	ND	ND	ND	0.84	ND	ND	0.10	ND	ND	ND	ND	5.66	ND	0.33	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.14	ND	ND	ND	ND	0.09
	JWL0044		0.39	1.47	ND	5.30	2.17	ND	0.77	ND	0.27	ND	0.25	ND	ND	ND	ND	0.31	0.13	ND	ND	0.26	4.33	0.85	1.63	ND	0.98	0.60	ND	ND	0.62	0.60	4.07	ND	2.40	0.23	1.48	ND	0.44	1.05	0.66	ND	0.14	0.45	1.25	ND	8.75	ND	12.64	ND	0.40	0.50	ND	ND	ND	5.33	ND	ND	0.68	ND	1.63	0.64	ND	27.81	0.30	2.21	0.43	ND	ND	ND	ND	ND	1.52	ND	0.65	0.67	ND	ND	0.20	2.45	ND	5.47	ND	1.23	ND	0.26	ND	0.21	ND	0.38	ND	0.17	0.30	ND	0.18	ND	ND	ND	ND	0.59	ND	ND	ND	ND	0.74
	JWL0058		0.09	2.41	0.17	9.20	ND	0.98	1.42	0.27	1.44	0.13	3.31	9.15	0.13	0.10	ND	0.25	0.18	0.29	0.81	ND	2.66	2.89	0.83	ND	0.83	1.23	ND	1.41	2.77	2.43	209.56	3.02	0.79	7.39	7.18	ND	ND	1.22	1.08	0.22	ND	1.44	1.81	ND	134.98	57.61	67.30	7.91	7.47	0.65	2.01	0.68	0.67	2.91	0.84	0.84	0.60	5.52	ND	2.52	73.04	63.18	17.31	16.70	0.95	7.24	2.46	4.02	ND	0.55	0.23	0.84	ND	ND	1.76	1.98	0.22	0.75	ND	24.08	1.01	5.75	2.13	1.52	1.55	91.69	ND	0.49	0.90	0.39	0.29	0.12	0.18	0.27	2.17	0.72	0.27	ND	0.16	0.35	0.39	ND	2.67
	JWL0062		ND	10.50	ND	14.35	13.56	10.07	1.23	0.63	2.39	ND	2.94	0.59	3.15	ND	1.19	0.50	0.73	ND	6.42	ND	12.77	26.55	1.87	0.57	3.75	5.34	3.35	6.87	10.21	5.66	122.63	1.45	0.64	22.71	28.45	ND	9.96	16.59	4.65	3.09	2.31	15.90	19.07	12.33	249.37	70.05	171.92	1.62	18.43	3.32	ND	28.88	8.58	41.03	ND	5.19	12.53	23.77	20.11	6.94	139.01	299.26	10.02	88.42	13.08	8.95	2.59	2.32	3.26	9.05	5.16	6.29	9.41	1.33	15.48	8.08	11.01	11.60	ND	189.27	3.84	8.29	5.20	13.26	6.88	77.18	ND	11.53	ND	9.76	6.03	ND	0.76	5.75	7.87	2.84	6.67	101.20	0.41	0.51	4.78	3.71	33.35
	JWL0070		0.61	4.72	ND	5.13	20.12	5.90	1.62	0.15	2.79	0.25	0.32	0.33	ND	ND	3.53	1.34	1.83	0.24	0.86	7.63	4.17	15.86	5.12	2.43	3.34	23.61	5.30	3.09	17.14	ND	74.28	0.64	ND	11.71	9.56	ND	1.47	17.65	11.00	1.53	7.01	7.77	23.20	6.83	118.62	51.69	95.85	0.87	30.96	7.92	13.96	11.00	9.84	11.98	ND	15.40	63.58	15.84	7.66	5.33	212.95	135.17	15.98	56.66	4.75	17.21	0.46	0.53	9.64	24.50	8.28	14.87	6.54	0.78	33.17	16.95	22.77	6.99	14.12	271.30	12.50	14.77	7.80	34.00	4.54	76.01	ND	1.76	4.22	21.02	10.01	0.81	2.11	10.09	9.67	4.64	10.80	90.49	2.85	1.04	5.97	2.14	38.10
	JWL0099		ND	0.52	0.20	1.28	0.41	0.65	0.69	ND	0.16	ND	0.07	0.07	0.32	0.17	0.34	ND	ND	0.09	0.24	ND	1.00	3.53	0.65	0.09	0.68	ND	ND	0.82	6.91	ND	25.27	0.21	0.30	2.52	2.38	0.39	0.32	3.75	4.40	0.37	0.41	1.08	6.94	2.99	28.88	5.00	45.37	ND	4.41	1.27	2.06	3.63	0.86	4.78	ND	1.15	20.29	2.90	2.04	1.38	64.67	53.64	2.75	12.76	1.53	0.31	0.10	0.07	ND	6.67	2.48	4.35	1.10	ND	8.87	3.99	5.58	3.01	ND	120.46	2.21	4.59	0.55	7.84	ND	14.46	ND	0.67	0.68	7.49	6.92	0.40	0.89	3.19	2.07	0.64	4.22	31.13	1.60	0.08	1.58	0.84	18.88
	JWL0100		0.04	0.46	0.17	0.90	0.34	0.40	0.53	ND	0.10	ND	0.02	ND	0.15	ND	0.26	ND	ND	ND	0.07	0.08	0.81	2.60	0.53	0.08	ND	ND	ND	0.35	1.48	ND	9.78	0.05	0.11	0.72	0.88	0.04	0.29	3.34	2.68	0.25	0.27	0.54	2.63	1.35	15.34	2.30	23.03	ND	2.61	0.95	0.97	1.80	0.43	2.47	ND	0.45	6.89	2.27	0.85	0.67	30.37	26.13	1.10	4.39	1.02	0.08	ND	ND	ND	3.89	1.48	2.14	0.50	ND	4.96	1.96	2.25	1.45	1.01	39.25	0.76	1.08	ND	1.92	ND	4.19	0.14	0.27	0.44	2.98	1.69	0.09	0.28	2.39	0.66	0.20	1.92	10.43	0.45	ND	0.64	0.24	3.01
	JWL0131		ND	ND	ND	ND	ND	ND	ND	ND	0.06	ND	0.12	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.08	ND	0.17	0.14	0.19	1.17	ND	ND	0.22	0.15	ND	0.04	0.16	ND	ND	ND	0.31	0.18	ND	2.64	0.32	4.12	ND	0.12	0.04	ND	0.39	ND	0.49	0.07	0.07	0.27	ND	ND	0.44	1.29	5.96	ND	0.78	ND	ND	ND	0.02	ND	0.05	ND	0.05	0.05	0.02	0.03	0.04	ND	ND	ND	3.05	ND	0.08	0.02	0.08	ND	0.33	0.01	0.04	ND	ND	0.13	ND	0.04	0.06	ND	0.03	0.05	0.79	ND	ND	0.01	0.05	0.52
	JWL0148		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.01	ND	ND	ND	ND	ND	ND	ND	0.02	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.63	ND	ND	0.14	0.13	ND	0.08	ND	ND	ND	ND	ND	ND	ND	1.20	ND	1.61	ND	ND	ND	ND	ND	ND	0.37	ND	ND	ND	ND	ND	0.20	0.46	2.91	ND	0.31	ND	ND	ND	ND	ND	ND	0.01	ND	ND	ND	ND	ND	ND	0.03	ND	0.88	ND	0.05	ND	0.04	ND	0.17	ND	ND	ND	ND	0.03	ND	ND	0.02	ND	ND	0.05	0.48	ND	ND	ND	ND	0.37
																																																																																																									
	Total Analytes	103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
	Total MS2 Confirmed	95	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
