																																																																																																																																																																																																													
	JWL0034		0.03	ND	ND	0.03	0.01	0.03	0.02	ND	ND	ND	0.16	ND	0.02	ND	0.07	7.47	ND	ND	60.52	1.17	ND	ND	0.12	ND	ND	ND	0.09	0.23	ND	ND	0.33	ND	1.57	1.19	25.79	0.30	ND	ND	0.11	ND	0.10	ND	0.05	0.11	8.38	ND	ND	123.17	1.96	ND	0.13	ND	4.51	0.78	1.28	0.04	0.16	0.14	0.19	ND	ND	ND	ND	0.02	0.26	ND	1.16	1.27	ND	31.11	ND	0.08	ND	0.64	3.39	ND	ND	0.11	ND	0.47	0.02	18.72	0.05	ND	ND	ND	0.06	0.14	0.07	ND	0.01	0.09	1.06	ND	ND	ND	ND	ND	6.33	1.27	0.92	0.06	2.15	0.02	0.09	ND	ND	0.03	9.14	ND	ND	0.03	0.02	ND	ND	ND	0.06	0.01	ND	ND	0.95	0.09	0.79	0.04	ND	ND	ND	0.05	0.01	0.06	0.65	ND	2.99	0.58	0.05	ND	0.02	ND	0.05	ND	ND	ND	ND	ND	ND	ND	ND	0.12	ND	0.51	0.08	ND	ND	ND	0.08	0.04	ND	ND	ND	ND	0.12	0.06	0.06	0.12	0.11	0.20	ND	0.05	ND	ND	0.19	ND	0.05	0.03	0.16	0.03	0.12	0.09	ND	ND	0.09	0.03	ND	0.07	0.10	0.15	ND	ND	0.04	0.14	ND	ND	0.07	0.10	0.11	0.12	0.04	0.16	0.13	0.15	0.08	0.02	0.02
	JWL0039		0.05	ND	ND	ND	ND	ND	ND	ND	0.16	ND	ND	0.05	0.05	0.23	0.11	14.66	0.76	ND	120.46	2.32	ND	ND	0.14	1.69	0.06	ND	0.16	0.22	0.08	0.07	0.61	ND	2.21	0.76	21.66	0.32	0.10	ND	0.18	ND	0.27	ND	ND	0.21	35.42	ND	ND	208.14	3.39	ND	0.15	0.38	2.58	0.63	3.62	0.12	0.03	0.05	0.14	ND	ND	ND	0.05	0.03	0.40	0.69	2.41	1.92	ND	35.47	ND	0.08	ND	0.42	8.96	ND	ND	0.03	ND	0.10	ND	21.19	0.03	0.03	0.10	ND	0.22	1.81	ND	0.17	ND	ND	19.53	0.29	0.16	ND	0.03	ND	6.66	2.55	1.25	ND	2.11	0.02	0.11	ND	1.24	ND	ND	ND	0.06	0.08	ND	0.03	0.07	ND	0.51	ND	ND	ND	0.69	ND	0.71	0.04	ND	ND	0.12	0.09	0.19	ND	7.49	ND	2.91	0.78	0.07	ND	0.17	0.04	ND	0.15	0.22	0.14	0.06	ND	ND	ND	ND	0.21	0.33	0.45	ND	ND	0.06	0.15	ND	0.31	ND	ND	ND	ND	ND	ND	0.30	ND	0.10	0.08	0.04	0.40	0.50	ND	0.32	ND	0.36	0.18	0.25	ND	ND	0.43	1.37	ND	0.17	0.14	ND	0.44	0.70	0.23	ND	ND	0.05	0.68	0.74	ND	0.43	0.15	0.35	0.63	0.07	0.51	0.02	ND	0.21	ND	ND
	JWL0042		ND	0.01	ND	0.01	0.04	0.03	ND	ND	0.07	1.72	ND	ND	ND	3.50	ND	ND	136.63	0.19	0.18	ND	0.08	ND	ND	ND	0.06	3.35	ND	ND	8.15	11.53	ND	ND	0.17	ND	0.13	ND	0.02	ND	ND	20.15	0.24	0.03	ND	ND	ND	3.20	6.58	1.13	ND	ND	ND	ND	ND	0.53	6.92	ND	ND	0.07	ND	ND	ND	0.04	ND	0.05	ND	ND	0.83	0.50	ND	23.87	ND	ND	0.27	ND	ND	1.75	3.29	ND	0.19	ND	ND	0.67	ND	ND	0.06	0.05	ND	1.33	0.18	ND	0.08	ND	22.04	ND	ND	4.29	0.02	ND	ND	ND	0.97	ND	2.88	ND	0.08	ND	ND	ND	8.39	ND	ND	0.04	0.03	0.03	ND	0.07	ND	ND	ND	ND	ND	ND	ND	0.03	ND	0.70	ND	ND	ND	ND	9.00	0.02	ND	ND	ND	0.02	ND	ND	0.05	0.12	0.04	0.03	ND	0.07	ND	ND	ND	ND	0.12	0.11	ND	0.01	0.03	0.03	0.04	0.02	0.02	ND	ND	ND	ND	ND	ND	ND	ND	0.02	ND	0.04	0.04	0.04	ND	ND	ND	0.04	ND	0.02	ND	ND	0.08	0.02	0.02	0.04	ND	0.02	0.05	ND	ND	ND	0.07	0.09	ND	0.03	0.01	ND	0.05	0.08	ND	0.06	0.11	0.03	0.02	ND	ND
	JWL0043		ND	0.01	0.02	ND	0.02	0.01	ND	ND	0.21	ND	ND	ND	ND	3.16	ND	ND	70.20	0.11	0.10	ND	0.06	0.10	ND	0.07	ND	1.89	ND	ND	3.75	7.57	ND	ND	0.08	ND	0.05	ND	0.01	ND	ND	13.89	0.23	0.01	ND	ND	ND	1.52	3.20	0.47	ND	ND	ND	ND	ND	0.21	3.47	ND	ND	ND	ND	ND	ND	0.02	ND	0.03	ND	ND	0.34	0.24	ND	12.61	ND	ND	0.12	ND	ND	0.62	1.70	ND	0.09	ND	ND	ND	ND	ND	0.04	ND	ND	0.65	0.08	ND	0.06	ND	8.34	0.17	ND	1.74	ND	ND	ND	ND	0.50	ND	2.62	ND	0.05	ND	ND	ND	5.22	0.09	ND	0.01	0.01	ND	ND	0.04	ND	0.12	ND	ND	0.08	ND	0.33	ND	ND	0.35	ND	ND	ND	ND	4.15	0.01	0.24	ND	ND	ND	0.02	ND	0.01	0.05	0.03	ND	ND	0.07	ND	ND	ND	ND	0.04	0.06	ND	ND	ND	ND	ND	0.02	0.02	ND	ND	ND	ND	ND	ND	0.02	0.09	0.02	ND	0.04	0.04	0.03	ND	ND	0.01	0.04	ND	0.01	ND	0.06	0.06	0.02	ND	0.04	ND	0.01	0.04	ND	ND	0.02	0.05	0.10	ND	0.03	ND	0.01	0.03	0.07	0.01	ND	0.11	0.03	0.02	ND	ND
	JWL0044		ND	ND	0.04	0.04	ND	0.05	ND	ND	0.25	ND	ND	ND	ND	7.24	ND	ND	224.98	0.21	0.36	ND	ND	0.46	ND	ND	0.05	6.20	ND	ND	14.77	29.41	ND	0.04	0.16	0.06	0.59	ND	ND	ND	ND	22.19	0.93	0.08	ND	ND	ND	8.29	13.19	ND	ND	ND	ND	ND	ND	ND	15.34	ND	ND	0.08	ND	0.07	ND	0.08	ND	ND	ND	ND	3.10	1.51	ND	58.48	0.06	ND	4.23	ND	ND	3.66	5.26	ND	ND	ND	0.03	ND	ND	ND	0.07	0.13	ND	2.37	0.37	ND	ND	ND	51.06	0.71	0.44	19.25	0.06	ND	1.59	ND	3.00	0.12	2.88	ND	0.16	ND	1.58	0.04	12.44	ND	ND	0.03	0.09	ND	ND	0.05	ND	0.88	ND	ND	0.45	ND	0.66	0.07	0.20	ND	ND	ND	ND	ND	13.84	0.11	0.84	ND	ND	0.03	ND	ND	0.07	0.10	0.15	0.06	ND	ND	ND	ND	0.59	ND	ND	0.40	ND	0.05	0.04	ND	0.12	0.05	0.04	0.02	ND	ND	ND	ND	0.03	0.04	0.11	0.13	ND	0.11	0.13	0.10	0.07	ND	0.07	0.12	0.05	0.03	ND	0.14	ND	0.09	0.08	0.04	ND	ND	0.13	0.02	ND	ND	0.07	0.14	0.30	0.05	ND	0.06	0.05	0.12	0.02	0.12	0.19	0.07	0.08	ND	ND
	JWL0058		ND	ND	ND	ND	ND	ND	ND	0.03	0.09	ND	0.10	ND	0.26	ND	0.06	1.63	8.55	0.03	27.53	0.56	ND	1.62	0.07	2.09	0.02	0.06	0.15	0.14	ND	0.43	0.31	ND	2.40	1.31	14.32	0.17	ND	ND	0.16	3.08	0.51	0.04	ND	0.17	8.17	ND	0.68	245.70	3.90	ND	0.16	ND	ND	1.00	8.78	0.02	0.04	0.07	0.08	0.94	ND	ND	0.04	ND	0.28	0.25	3.87	4.03	0.55	46.68	ND	0.05	0.09	0.49	3.61	ND	0.42	0.05	ND	0.10	0.04	24.53	0.09	ND	0.15	0.07	ND	3.58	ND	0.39	ND	ND	40.14	0.82	ND	ND	0.05	ND	10.15	1.04	0.85	0.08	2.27	0.07	0.15	ND	1.86	0.06	ND	ND	0.05	0.04	ND	0.08	ND	ND	ND	ND	0.18	ND	0.44	0.06	0.24	0.06	0.17	ND	0.03	ND	ND	ND	11.46	0.05	4.23	0.55	ND	0.04	0.02	0.08	ND	0.15	0.06	0.04	ND	ND	ND	ND	0.17	0.12	ND	ND	ND	ND	ND	0.04	0.24	0.07	ND	ND	ND	ND	ND	ND	ND	0.03	0.09	ND	ND	0.09	ND	ND	0.06	ND	0.05	0.10	0.06	0.03	0.02	0.15	0.07	0.06	0.08	0.04	ND	0.08	0.11	0.03	ND	0.04	0.03	0.13	ND	0.09	0.08	0.06	0.10	0.13	0.04	ND	ND	0.06	0.07	0.05	ND
	JWL0062		0.03	0.03	0.05	ND	ND	ND	ND	ND	ND	ND	0.23	ND	ND	0.87	ND	ND	10.65	0.03	3.48	ND	ND	6.78	ND	3.96	0.83	0.30	0.09	0.40	0.59	ND	34.28	0.05	6.48	12.18	33.74	ND	0.49	5.18	ND	ND	0.10	0.06	ND	ND	10.61	ND	4.23	238.58	3.98	22.63	0.41	ND	8.56	24.69	13.59	0.04	0.42	0.89	ND	2.81	2.20	ND	ND	ND	0.71	27.46	68.79	53.75	1.52	141.85	0.13	0.13	ND	1.47	ND	ND	2.34	0.30	1.28	6.27	ND	39.61	0.05	0.60	ND	0.11	3.14	11.90	1.37	1.86	ND	ND	230.84	3.00	2.04	ND	0.26	8.13	27.55	ND	1.31	0.38	5.03	0.67	0.44	13.47	16.74	0.02	29.98	0.09	1.59	0.14	0.05	ND	0.83	0.21	14.48	2.76	0.42	ND	ND	ND	ND	0.22	0.98	5.74	ND	ND	ND	14.35	37.80	ND	ND	ND	ND	0.14	ND	4.15	ND	43.10	11.77	35.45	ND	ND	0.48	ND	1.74	ND	0.08	ND	ND	0.02	10.48	5.49	1.32	0.10	0.04	2.46	98.42	0.42	0.34	0.25	0.06	0.02	0.17	ND	0.93	0.14	ND	0.08	0.26	50.52	0.08	0.08	0.05	0.16	ND	0.19	0.26	0.08	0.08	0.07	23.54	0.11	0.17	0.05	ND	0.05	0.12	0.24	ND	0.06	0.12	0.06	0.12	0.20	ND	0.24	0.28	0.05	0.09	1.99	0.15
	JWL0070		ND	ND	ND	ND	ND	ND	ND	0.04	ND	0.28	0.23	0.25	0.18	ND	ND	0.21	0.61	ND	0.69	ND	0.18	0.04	ND	ND	ND	ND	ND	0.21	0.36	ND	9.24	0.30	7.45	0.36	1.33	ND	0.04	ND	0.13	ND	ND	0.11	ND	ND	4.89	0.60	2.56	158.10	2.50	8.97	0.16	ND	2.03	0.57	1.78	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.33	10.38	126.85	ND	0.13	19.67	0.15	ND	0.50	0.60	1.13	0.19	0.97	ND	0.28	0.05	0.05	12.81	ND	ND	ND	ND	ND	10.98	0.47	3.86	ND	53.12	453.88	5.90	4.17	3.28	0.21	2.64	11.65	ND	1.70	0.31	1.89	ND	0.09	2.82	14.01	ND	3.99	0.04	ND	ND	ND	0.80	0.51	0.15	ND	11.06	ND	1.85	ND	ND	0.82	ND	ND	2.71	ND	ND	ND	10.72	22.96	ND	1.65	ND	0.18	0.23	0.04	0.16	0.22	23.31	8.22	4.00	0.38	0.56	0.24	7.95	ND	ND	ND	ND	0.11	ND	2.34	3.85	ND	ND	ND	ND	21.21	4.63	0.23	0.16	ND	0.16	ND	ND	2.68	ND	ND	ND	ND	80.21	ND	ND	ND	0.04	4.69	ND	ND	ND	ND	ND	13.07	ND	ND	ND	0.41	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.09	0.12
	JWL0099		ND	ND	ND	ND	ND	ND	0.03	0.02	ND	0.05	0.08	0.06	0.08	ND	ND	0.05	0.15	ND	0.05	ND	0.09	0.03	ND	ND	ND	ND	ND	0.14	0.09	0.11	ND	0.07	0.88	0.19	0.26	ND	0.04	0.01	0.03	0.01	ND	0.03	ND	ND	0.67	0.28	0.49	42.59	ND	1.48	0.09	0.40	0.23	0.09	0.77	0.01	0.01	ND	ND	ND	0.07	ND	ND	0.02	0.09	ND	23.91	ND	0.03	3.34	0.04	ND	0.10	0.23	0.32	0.05	0.30	ND	0.11	ND	ND	8.64	ND	ND	ND	0.06	ND	1.62	ND	ND	ND	8.16	100.05	1.22	0.94	1.51	0.09	0.51	1.37	ND	0.36	0.13	ND	0.14	0.03	ND	6.90	ND	1.65	0.04	ND	0.03	ND	0.11	0.05	0.03	ND	1.54	0.08	ND	0.06	0.10	ND	ND	0.32	ND	0.11	0.05	ND	3.55	14.33	ND	ND	ND	0.04	ND	ND	0.03	0.03	2.35	0.18	0.42	0.02	0.05	0.04	2.51	0.94	ND	ND	ND	0.01	0.04	0.93	0.16	0.13	ND	0.01	ND	4.11	0.25	ND	0.02	ND	0.01	ND	ND	1.14	ND	ND	ND	0.02	24.28	ND	ND	ND	ND	ND	0.01	0.03	ND	ND	0.03	2.24	ND	0.02	ND	0.09	0.01	0.04	0.02	0.06	ND	ND	ND	0.01	0.03	ND	0.02	0.05	ND	ND	ND	ND
	JWL0100		0.03	ND	ND	ND	ND	ND	0.01	0.02	ND	0.04	0.02	0.02	0.02	ND	ND	ND	0.07	ND	0.03	ND	0.06	0.02	ND	0.08	ND	ND	ND	ND	ND	0.03	ND	0.02	0.36	0.03	0.10	ND	0.03	0.01	0.01	0.02	ND	0.07	0.03	ND	0.46	0.07	0.21	20.17	ND	1.26	0.05	0.11	0.11	0.04	0.50	ND	ND	ND	ND	ND	0.02	ND	0.02	0.01	0.02	ND	12.75	ND	0.03	2.06	ND	ND	0.08	0.21	0.09	0.01	0.13	ND	0.02	ND	ND	7.30	ND	0.04	ND	0.11	ND	0.40	ND	0.18	ND	3.90	49.07	0.66	0.42	0.28	0.06	0.22	0.90	ND	ND	ND	ND	0.01	0.02	ND	5.15	ND	1.19	ND	ND	0.05	0.04	0.02	ND	0.02	ND	0.97	ND	0.17	0.08	ND	0.11	ND	0.22	ND	0.08	0.03	ND	2.10	12.36	ND	ND	ND	ND	0.05	ND	ND	0.05	1.61	ND	ND	0.04	0.03	ND	1.20	0.63	ND	ND	0.07	0.04	0.02	0.81	ND	0.17	ND	0.01	1.68	2.61	0.02	0.06	0.06	ND	0.01	0.07	ND	0.02	ND	0.00	ND	ND	ND	ND	ND	ND	ND	ND	0.01	ND	ND	ND	0.03	1.79	ND	ND	ND	0.07	ND	0.04	0.03	0.03	ND	ND	ND	0.01	0.02	ND	0.01	0.03	ND	ND	0.00	0.08
