P_act	clock	flow	inj	status	vol	watch
0.7	20220820 061442	0.0	False	STOP LOCAL	85.9661	161.3042860031128
0.8	20220820 061442	0.0	False	STOP LOCAL	85.9661	161.72680497169495
0.9	20220820 061444	0.0	False	STOP LOCAL	85.9661	162.8285949230194
0.8	20220820 061444	0.0	False	STOP LOCAL	85.9661	163.36235189437866
0.7	20220820 061446	0.0	False	STOP LOCAL	85.9661	165.41357111930847
0.8	20220820 061447	0.0	False	STOP LOCAL	85.9661	165.98375988006592
0.7	20220820 061448	0.0	False	STOP LOCAL	85.9661	167.58771204948425
0.8	20220820 061449	0.0	False	STOP LOCAL	85.9661	168.17017078399658
0.7	20220820 061452	0.0	False	STOP LOCAL	85.9661	170.85581588745117
0.8	20220820 061452	0.0	False	STOP LOCAL	85.9661	171.4472692012787
0.6	20220820 061453	0.0	False	STOP LOCAL	85.9661	172.5222089290619
0.8	20220820 061454	0.0	False	STOP LOCAL	85.9661	173.01146793365479
0.7	20220820 061456	0.0	False	STOP LOCAL	85.9661	175.02233815193176
0.8	20220820 061456	0.0	False	STOP LOCAL	85.9661	175.51153588294983
0.7	20220820 061457	0.0	False	STOP LOCAL	85.9661	176.03509497642517
0.8	20220820 061457	0.0	False	STOP LOCAL	85.9661	176.48193192481995
0.7	20220820 061459	0.0	False	STOP LOCAL	85.9661	178.05519795417786
0.8	20220820 061459	0.0	False	STOP LOCAL	85.9661	178.6640739440918
0.9	20220820 061502	0.0	False	STOP LOCAL	85.9661	180.83856201171875
0.8	20220820 061502	0.0	False	STOP LOCAL	85.9661	181.3545320034027
0.7	20220820 061503	0.0	False	STOP LOCAL	85.9661	181.90672993659973
0.8	20220820 061503	0.0	False	STOP LOCAL	85.9661	182.3140411376953
0.7	20220820 061504	0.0	False	STOP LOCAL	85.9661	182.8605990409851
0.8	20220820 061504	0.0	False	STOP LOCAL	85.9661	183.3426079750061
0.7	20220820 061505	0.0	False	STOP LOCAL	85.9661	183.90577697753906
0.9	20220820 061507	0.0	False	STOP LOCAL	85.9661	186.02869606018066
0.8	20220820 061507	0.0	False	STOP LOCAL	85.9661	186.51840996742249
0.7	20220820 061508	0.0	False	STOP LOCAL	85.9661	187.0210738182068
0.8	20220820 061509	0.0	False	STOP LOCAL	85.9661	188.09816694259644
0.7	20220820 061509	0.0	False	STOP LOCAL	85.9661	188.66188597679138
0.8	20220820 061510	0.0	False	STOP LOCAL	85.9661	189.78416419029236
0.7	20220820 061512	0.0	False	STOP LOCAL	85.9661	190.841304063797
0.8	20220820 061512	0.0	False	STOP LOCAL	85.9661	191.38804507255554
0.7	20220820 061515	0.0	False	STOP LOCAL	85.9661	194.10801792144775
0.8	20220820 061517	0.0	False	STOP LOCAL	85.9661	195.79893398284912
0.9	20220820 061517	0.0	False	STOP LOCAL	85.9661	196.30053186416626
0.8	20220820 061518	0.0	False	STOP LOCAL	85.9661	196.78965711593628
0.7	20220820 061520	0.0	False	STOP LOCAL	85.9661	199.4617519378662
0.8	20220820 061521	0.0	False	STOP LOCAL	85.9661	199.9387011528015
0.7	20220820 061521	0.0	False	STOP LOCAL	85.9661	200.48095893859863
0.8	20220820 061523	0.0	False	STOP LOCAL	85.9661	202.10156798362732
0.7	20220820 061526	0.0	False	STOP LOCAL	85.9661	205.78396201133728
0.8	20220820 061528	0.0	False	STOP LOCAL	85.9661	207.30671000480652
0.7	20220820 061529	0.0	False	STOP LOCAL	85.9661	207.86038899421692
0.8	20220820 061529	0.0	False	STOP LOCAL	85.9661	208.40478491783142
0.7	20220820 061531	0.0	False	STOP LOCAL	85.9661	209.92724895477295
0.8	20220820 061531	0.0	False	STOP LOCAL	85.9661	210.43284606933594
0.7	20220820 061534	0.0	False	STOP LOCAL	85.9661	212.95981001853943
0.8	20220820 061534	0.0	False	STOP LOCAL	85.9661	213.44263291358948
0.9	20220820 061539	0.0	False	STOP LOCAL	85.9661	218.4200267791748
0.8	20220820 061540	0.0	False	STOP LOCAL	85.9661	218.932373046875
0.7	20220820 061541	0.0	False	STOP LOCAL	85.9661	220.6479218006134
0.8	20220820 061542	0.0	False	STOP LOCAL	85.9661	221.1567301750183
0.7	20220820 061543	0.0	False	STOP LOCAL	85.9661	222.66261100769043
0.8	20220820 061544	0.0	False	STOP LOCAL	85.9661	223.13800597190857
0.7	20220820 061547	0.0	False	STOP LOCAL	85.9661	226.4263300895691
0.8	20220820 061548	0.0	False	STOP LOCAL	85.9661	226.98560690879822
0.7	20220820 061548	0.0	False	STOP LOCAL	85.9661	227.65797185897827
0.8	20220820 061549	0.0	False	STOP LOCAL	85.9661	228.23149490356445
0.7	20220820 061550	0.0	False	STOP LOCAL	85.9661	229.75828289985657
0.8	20220820 061551	0.0	False	STOP LOCAL	85.9661	230.3162338733673
0.7	20220820 061552	0.0	False	STOP LOCAL	85.9661	231.73254299163818
0.8	20220820 061553	0.0	False	STOP LOCAL	85.9661	232.33011507987976
0.7	20220820 061554	0.0	False	STOP LOCAL	85.9661	232.80539894104004
0.8	20220820 061554	0.0	False	STOP LOCAL	85.9661	233.2427818775177
0.7	20220820 061555	0.0	False	STOP LOCAL	85.9661	233.80222010612488
0.8	20220820 061555	0.0	False	STOP LOCAL	85.9661	234.3301079273224
0.7	20220820 061556	0.0	False	STOP LOCAL	85.9661	235.59784078598022
0.8	20220820 061600	0.0	False	STOP LOCAL	85.9661	238.9245879650116
0.7	20220820 061603	0.0	False	STOP LOCAL	85.9661	242.4678840637207
0.8	20220820 061605	0.0	False	STOP LOCAL	85.9661	244.43190813064575
0.7	20220820 061607	0.0	False	STOP LOCAL	85.9661	246.00507998466492
0.8	20220820 061608	0.0	False	STOP LOCAL	85.9661	247.0721869468689
0.7	20220820 061611	0.0	False	STOP LOCAL	85.9661	250.23620104789734
0.8	20220820 061612	0.0	False	STOP LOCAL	85.9661	251.1062788963318
0.7	20220820 061612	0.0	False	STOP LOCAL	85.9661	251.56164503097534
0.8	20220820 061613	0.0	False	STOP LOCAL	85.9661	252.12510108947754
0.7	20220820 061613	0.0	False	STOP LOCAL	85.9661	252.59856414794922
0.8	20220820 061614	0.0	False	STOP LOCAL	85.9661	253.18216490745544
0.7	20220820 061615	0.0	False	STOP LOCAL	85.9661	254.71592092514038
0.8	20220820 061616	0.0	False	STOP LOCAL	85.9661	255.2137541770935
0.7	20220820 061616	0.0	False	STOP LOCAL	85.9661	255.68771409988403
0.8	20220820 061617	0.0	False	STOP LOCAL	85.9661	256.1958808898926
0.7	20220820 061620	0.0	False	STOP LOCAL	85.9661	259.3339660167694
0.8	20220820 061621	0.0	False	STOP LOCAL	85.9661	259.93756890296936
0.7	20220820 061622	0.0	False	STOP LOCAL	85.9661	260.83005380630493
0.8	20220820 061622	0.0	False	STOP LOCAL	85.9661	261.47968196868896
0.7	20220820 061626	0.0	False	STOP LOCAL	85.9661	265.61467003822327
0.8	20220820 061629	0.0	False	STOP LOCAL	85.9661	268.6289961338043
0.7	20220820 061630	0.0	False	STOP LOCAL	85.9661	269.11797404289246
0.8	20220820 061632	0.0	False	STOP LOCAL	85.9661	271.5242009162903
0.7	20220820 061633	0.0	False	STOP LOCAL	85.9661	272.1326539516449
0.8	20220820 061635	0.0	False	STOP LOCAL	85.9661	274.38468194007874
0.7	20220820 061636	0.0	False	STOP LOCAL	85.9661	274.8768057823181
0.8	20220820 061636	0.0	False	STOP LOCAL	85.9661	275.37230682373047
0.7	20220820 061637	0.0	False	STOP LOCAL	85.9661	275.9600269794464
0.8	20220820 061637	0.0	False	STOP LOCAL	85.9661	276.4722480773926
0.7	20220820 061639	0.0	False	STOP LOCAL	85.9661	278.45857191085815
0.8	20220820 061640	0.0	False	STOP LOCAL	85.9661	279.4243550300598
0.7	20220820 061641	0.0	False	STOP LOCAL	85.9661	279.8732089996338
0.8	20220820 061641	0.0	False	STOP LOCAL	85.9661	280.46202278137207
0.7	20220820 061642	0.0	False	STOP LOCAL	85.9661	281.5651819705963
0.8	20220820 061643	0.0	False	STOP LOCAL	85.9661	282.1417100429535
0.7	20220820 061645	0.0	False	STOP LOCAL	85.9661	284.4337840080261
0.8	20220820 061646	0.0	False	STOP LOCAL	85.9661	284.9552299976349
0.7	20220820 061646	0.0	False	STOP LOCAL	85.9661	285.53285098075867
0.8	20220820 061647	0.0	False	STOP LOCAL	85.9661	286.15023493766785
0.7	20220820 061647	0.0	False	STOP LOCAL	85.9661	286.70365691185
0.8	20220820 061648	0.0	False	STOP LOCAL	85.9661	287.14936089515686
0.7	20220820 061648	0.0	False	STOP LOCAL	85.9661	287.6602849960327
0.8	20220820 061649	0.0	False	STOP LOCAL	85.9661	288.21441102027893
0.7	20220820 061654	0.0	False	STOP LOCAL	85.9661	293.58339619636536
0.8	20220820 061655	0.0	False	STOP LOCAL	85.9661	294.59563398361206
0.7	20220820 061656	0.0	False	STOP LOCAL	85.9661	295.03027510643005
0.8	20220820 061656	0.0	False	STOP LOCAL	85.9661	295.4825789928436
0.7	20220820 061658	0.0	False	STOP LOCAL	85.9661	297.56421995162964
0.8	20220820 061659	0.0	False	STOP LOCAL	85.9661	298.15007495880127
0.7	20220820 061700	0.0	False	STOP LOCAL	85.9661	299.17005014419556
0.8	20220820 061702	0.0	False	STOP LOCAL	85.9661	301.3950819969177
0.7	20220820 061703	0.0	False	STOP LOCAL	85.9661	301.8756721019745
0.8	20220820 061704	0.0	False	STOP LOCAL	85.9661	302.9888792037964
0.7	20220820 061704	0.0	False	STOP LOCAL	85.9661	303.5208351612091
0.8	20220820 061705	0.0	False	STOP LOCAL	85.9661	303.9844470024109
0.7	20220820 061705	0.0	False	STOP LOCAL	85.9661	304.54702377319336
0.8	20220820 061706	0.0	False	STOP LOCAL	85.9661	305.12130784988403
0.7	20220820 061707	0.0	False	STOP LOCAL	85.9661	306.07875394821167
0.8	20220820 061707	0.0	False	STOP LOCAL	85.9661	306.6153221130371
0.7	20220820 061710	0.0	False	STOP LOCAL	85.9661	309.2826428413391
0.8	20220820 061711	0.0	False	STOP LOCAL	85.9661	309.8710021972656
0.7	20220820 061712	0.0	False	STOP LOCAL	85.9661	310.87680411338806
0.8	20220820 061712	0.0	False	STOP LOCAL	85.9661	311.4004969596863
0.7	20220820 061717	0.0	False	STOP LOCAL	85.9661	315.7949638366699
0.8	20220820 061717	0.0	False	STOP LOCAL	85.9661	316.27876710891724
0.7	20220820 061718	0.0	False	STOP LOCAL	85.9661	316.8052637577057
0.8	20220820 061718	0.0	False	STOP LOCAL	85.9661	317.3271610736847
0.9	20220820 061719	0.0	False	STOP LOCAL	85.9661	317.82670998573303
0.8	20220820 061719	0.0	False	STOP LOCAL	85.9661	318.328519821167
0.7	20220820 061720	0.0	False	STOP LOCAL	85.9661	318.8695809841156
0.8	20220820 061720	0.0	False	STOP LOCAL	85.9661	319.4143648147583
0.7	20220820 061721	0.0	False	STOP LOCAL	85.9661	320.5960669517517
0.8	20220820 061722	0.0	False	STOP LOCAL	85.9661	321.1349959373474
0.7	20220820 061722	0.0	False	STOP LOCAL	85.9661	321.68274784088135
0.8	20220820 061723	0.0	False	STOP LOCAL	85.9661	322.17694997787476
0.7	20220820 061728	0.0	False	STOP LOCAL	85.9661	327.3026990890503
0.8	20220820 061728	0.0	False	STOP LOCAL	85.9661	327.7746660709381
0.7	20220820 061731	0.0	False	STOP LOCAL	85.9661	329.9073951244354
0.8	20220820 061731	0.0	False	STOP LOCAL	85.9661	330.37370896339417
0.9	20220820 061734	0.0	False	STOP LOCAL	85.9661	333.5352919101715
0.8	20220820 061735	0.0	False	STOP LOCAL	85.9661	334.10257506370544
0.7	20220820 061735	0.0	False	STOP LOCAL	85.9661	334.68527483940125
0.8	20220820 061738	0.0	False	STOP LOCAL	85.9661	336.84793400764465
0.7	20220820 061742	0.0	False	STOP LOCAL	85.9661	340.98249912261963
0.8	20220820 061742	0.0	False	STOP LOCAL	85.9661	341.4865531921387
0.7	20220820 061747	0.0	False	STOP LOCAL	85.9661	346.1082980632782
0.8	20220820 061747	0.0	False	STOP LOCAL	85.9661	346.6149728298187
0.7	20220820 061748	0.0	False	STOP LOCAL	85.9661	347.71186685562134
0.8	20220820 061749	0.0	False	STOP LOCAL	85.9661	348.2336277961731
0.7	20220820 061750	0.0	False	STOP LOCAL	85.9661	349.15904688835144
0.8	20220820 061751	0.0	False	STOP LOCAL	85.9661	350.2045838832855
0.7	20220820 061751	0.0	False	STOP LOCAL	85.9661	350.72354102134705
0.8	20220820 061752	0.0	False	STOP LOCAL	85.9661	351.22075486183167
0.7	20220820 061752	0.0	False	STOP LOCAL	85.9661	351.7016398906708
0.8	20220820 061753	0.0	False	STOP LOCAL	85.9661	352.2142050266266
0.8	20220820 061754	0.0	False	RUN LOCAL	85.9661	353.64812707901
0.7	20220820 061755	0.0	False	RUN LOCAL	85.9661	354.695983171463
0.8	20220820 061756	0.0	False	RUN LOCAL	85.9661	355.1584949493408
0.7	20220820 061757	0.0	False	RUN LOCAL	85.9661	356.18923807144165
0.8	20220820 061757	0.0	False	RUN LOCAL	85.9661	356.7633080482483
0.7	20220820 061758	0.0081	False	RUN LOCAL	85.966	357.33943915367126
0.8	20220820 061758	0.0081	False	RUN LOCAL	85.966	357.7757911682129
0.7	20220820 061759	0.0	False	RUN LOCAL	85.966	358.33277201652527
0.7	20220820 061800	0.00347	False	RUN LOCAL	85.966	359.31796503067017
0.9	20220820 061801	0.00347	False	RUN LOCAL	85.9661	359.7990620136261
0.8	20220820 061801	0.0	False	RUN LOCAL	85.9661	360.29111981391907
0.9	20220820 061801	0.0	False	RUN LOCAL	85.9609	360.76378178596497
1.6	20220820 061802	0.0	False	RUN LOCAL	85.9366	361.3262929916382
3.6	20220820 061803	0.0	False	RUN LOCAL	85.8845	361.82315278053284
7.6	20220820 061803	0.0	False	RUN LOCAL	85.8249	362.38593196868896
14.5	20220820 061804	0.0	False	RUN LOCAL	85.7524	362.9458827972412
21.7	20220820 061804	6.87668	False	RUN LOCAL	85.6881	363.40447092056274
27.7	20220820 061805	6.87668	False	RUN LOCAL	85.6409	363.9769160747528
34.4	20220820 061805	5.57178	False	RUN LOCAL	85.5888	364.50105595588684
41.0	20220820 061806	5.13044	False	RUN LOCAL	85.5453	365.1455109119415
47.9	20220820 061806	4.81304	False	RUN LOCAL	85.4938	365.6061110496521
53.5	20220820 061807	4.48812	False	RUN LOCAL	False	366.095782995224
58.4	20220820 061807	4.31494	False	RUN LOCAL	85.4249	366.58558201789856
63.7	20220820 061808	4.15335	False	RUN LOCAL	85.3915	367.10531401634216
70.0	20220820 061808	4.04736	False	RUN LOCAL	85.357	367.6413109302521
75.0	20220820 061809	3.94426	False	RUN LOCAL	85.322	368.1898407936096
81.4	20220820 061809	3.84811	False	RUN LOCAL	85.2862	368.7729721069336
87.1	20220820 061810	3.79715	False	RUN LOCAL	85.2506	369.30077481269836
92.9	20220820 061811	3.77224	False	RUN LOCAL	85.2168	369.7927701473236
97.9	20220820 061811	3.77224	False	RUN LOCAL	85.1859	370.3317151069641
103.4	20220820 061812	4.1456	False	RUN LOCAL	False	370.82987689971924
108.6	20220820 061812	4.07545	False	RUN LOCAL	85.1223	371.25532698631287
112.8	20220820 061812	4.00035	False	RUN LOCAL	False	371.75147795677185
118.2	20220820 061813	3.93506	False	RUN LOCAL	85.0651	372.3390998840332
124.6	20220820 061814	3.8742	False	RUN LOCAL	85.0276	372.93926191329956
131.1	20220820 061814	3.8742	False	RUN LOCAL	84.9921	373.4606440067291
136.0	20220820 061815	3.78219	False	RUN LOCAL	84.9608	373.9032709598541
140.5	20220820 061815	3.75295	False	RUN LOCAL	84.9327	374.3816969394684
146.0	20220820 061816	3.75295	False	RUN LOCAL	84.9045	375.0329248905182
152.8	20220820 061816	3.70161	False	RUN LOCAL	84.865	375.5918159484863
158.5	20220820 061817	3.70161	False	RUN LOCAL	84.8298	376.15910601615906
164.9	20220820 061817	3.6707	False	RUN LOCAL	84.7977	376.66998505592346
169.8	20220820 061818	3.63969	False	RUN LOCAL	84.7657	377.18774819374084
175.5	20220820 061818	3.63064	False	RUN LOCAL	84.7366	377.72999715805054
181.0	20220820 061819	3.62104	False	RUN LOCAL	84.703	378.20789194107056
185.9	20220820 061819	3.61653	False	RUN LOCAL	84.6751	378.7635540962219
191.7	20220820 061820	3.61653	False	RUN LOCAL	84.6419	379.28079199790955
197.2	20220820 061821	3.60118	False	RUN LOCAL	84.6101	379.90532088279724
203.4	20220820 061821	3.59135	False	RUN LOCAL	False	380.4297549724579
208.9	20220820 061822	3.58377	False	RUN LOCAL	84.5423	381.0548050403595
215.4	20220820 061822	3.57962	False	RUN LOCAL	84.5049	381.5605387687683
220.8	20220820 061823	3.57512	False	RUN LOCAL	False	382.04294991493225
225.5	20220820 061823	3.57141	False	RUN LOCAL	84.4471	382.5608379840851
230.8	20220820 061824	3.56393	False	RUN LOCAL	84.4168	383.0723650455475
236.0	20220820 061824	3.55918	False	RUN LOCAL	84.3869	383.51787281036377
240.9	20220820 061825	3.55084	False	RUN LOCAL	84.3609	384.0301659107208
246.2	20220820 061825	3.54773	False	RUN LOCAL	84.3296	384.61158299446106
252.9	20220820 061826	3.53659	False	RUN LOCAL	84.2967	385.2151710987091
258.4	20220820 061826	3.53659	False	RUN LOCAL	84.2615	385.6719779968262
263.7	20220820 061827	3.52503	False	RUN LOCAL	84.2355	386.192724943161
268.5	20220820 061827	3.52503	False	RUN LOCAL	84.2043	386.670441865921
274.3	20220820 061828	3.51383	False	RUN LOCAL	84.1771	387.2981219291687
280.2	20220820 061829	3.51383	False	RUN LOCAL	84.1408	387.97141885757446
287.2	20220820 061829	3.49399	False	RUN LOCAL	84.102	388.502032995224
292.5	20220820 061830	3.4907	False	RUN LOCAL	84.0708	389.0839030742645
298.9	20220820 061830	3.4907	False	RUN LOCAL	84.0372	389.62346386909485
304.4	20220820 061831	3.47709	False	RUN LOCAL	84.0064	390.14085698127747
310.0	20220820 061831	3.47457	False	RUN LOCAL	83.9769	390.7595660686493
316.3	20220820 061832	3.47457	False	RUN LOCAL	83.9406	391.3581428527832
322.9	20220820 061833	3.46542	False	RUN LOCAL	83.9058	391.8973078727722
327.8	20220820 061833	3.46313	False	RUN LOCAL	83.8751	392.46207904815674
333.6	20220820 061834	3.45755	False	RUN LOCAL	83.8428	392.94513297080994
339.1	20220820 061834	3.45356	False	RUN LOCAL	83.815	393.48385095596313
344.9	20220820 061835	3.45041	False	RUN LOCAL	83.7842	394.1343958377838
351.3	20220820 061835	3.44803	False	RUN LOCAL	83.7467	394.63641905784607
356.8	20220820 061836	3.44196	False	RUN LOCAL	83.7175	395.2182650566101
362.8	20220820 061837	3.43503	False	RUN LOCAL	83.6857	395.8008840084076
368.7	20220820 061837	3.43503	False	RUN LOCAL	83.6523	396.4211440086365
375.1	20220820 061838	3.43503	False	RUN LOCAL	83.6167	397.0185248851776
381.6	20220820 061838	3.43503	False	RUN LOCAL	False	397.60205006599426
388.3	20220820 061839	3.41722	False	RUN LOCAL	False	398.27545189857483
394.9	20220820 061840	3.41722	False	RUN LOCAL	83.5125	398.80748891830444
400.0	20220820 061840	3.41722	False	RUN LOCAL	83.4825	399.19409108161926
404.0	20220820 061840	3.41722	False	RUN LOCAL	83.4602	399.6050078868866
408.3	20220820 061841	3.39803	False	RUN LOCAL	83.4381	400.3010060787201
416.4	20220820 061842	3.38614	False	RUN LOCAL	83.399	401.07067108154297
423.5	20220820 061842	3.38769	False	RUN LOCAL	83.3553	401.6787829399109
430.0	20220820 061843	3.38163	False	RUN LOCAL	83.3213	402.15094804763794
435.0	20220820 061843	3.37542	False	RUN LOCAL	83.2939	402.7190170288086
440.9	20220820 061844	3.36771	False	RUN LOCAL	83.2627	403.2976450920105
447.3	20220820 061845	3.36408	False	RUN LOCAL	83.2303	403.8663489818573
452.7	20220820 061845	3.3593	False	RUN LOCAL	83.1993	404.5169348716736
459.5	20220820 061846	3.35821	False	RUN LOCAL	False	405.0524890422821
465.8	20220820 061846	3.35311	False	RUN LOCAL	83.1329	405.7313599586487
472.5	20220820 061847	3.34404	False	RUN LOCAL	False	406.3856670856476
479.6	20220820 061848	3.34211	False	RUN LOCAL	83.0591	406.9820520877838
485.2	20220820 061848	3.33595	False	RUN LOCAL	83.0267	407.5112609863281
491.0	20220820 061849	3.33357	False	RUN LOCAL	82.9972	408.2031910419464
496.2	20220820 061849	1.2383	False	RUN LOCAL	82.9643	408.71576285362244
495.5	20220820 061850	-2.09723	False	RUN LOCAL	82.9714	409.29438495635986
489.1	20220820 061850	-2.09723	False	RUN LOCAL	83.0002	409.75113797187805
484.1	20220820 061851	-2.94516	False	RUN LOCAL	83.0232	410.30263805389404
478.2	20220820 061852	-2.95848	False	RUN LOCAL	83.0509	410.9783868789673
471.9	20220820 061852	-2.58375	False	RUN LOCAL	83.0803	411.58394289016724
466.0	20220820 061853	-2.805	False	RUN LOCAL	83.1093	412.21973395347595
459.5	20220820 061853	-2.95906	False	RUN LOCAL	83.1396	412.7452600002289
454.3	20220820 061854	-3.02741	False	RUN LOCAL	83.1671	413.31018114089966
448.7	20220820 061855	-3.02741	False	RUN LOCAL	83.1954	413.8263809680939
443.2	20220820 061855	-3.09633	False	RUN LOCAL	83.2217	414.43460512161255
435.9	20220820 061856	-3.0332	False	RUN LOCAL	83.2531	415.1149220466614
428.9	20220820 061856	-3.08648	False	RUN LOCAL	83.2882	415.7446987628937
423.0	20220820 061857	-2.71856	False	RUN LOCAL	83.32	416.3128299713135
