P_act	clock	flow	inj	intensity	slit_em	slit_ex	status	vol	watch	wl_em	wl_ex
0.2	20220818 134600	0.0	False	11.069	15	15	STOP REMOTE	89.8142	19.08549404144287	538.0	460.0
0.2	20220818 134601	0.0	False	11.831	15	15	STOP REMOTE	89.8142	19.60781693458557	538.0	460.0
0.2	20220818 134601	0.0	False	12.99	15	15	STOP REMOTE	89.8142	20.172985792160034	538.0	460.0
0.1	20220818 134601	0.0	False	12.99	15	15	STOP REMOTE	89.8142	20.338323831558228	538.0	460.0
0.1	20220818 134602	0.0	False	13.215	15	15	STOP REMOTE	89.8142	20.701229095458984	538.0	460.0
0.2	20220818 134602	0.0	False	13.215	15	15	STOP REMOTE	89.8142	20.929466724395752	538.0	460.0
0.2	20220818 134602	0.0	False	14.002	15	15	STOP REMOTE	89.8142	21.154746770858765	538.0	460.0
0.2	20220818 134603	0.0	False	12.326	15	15	STOP REMOTE	89.8142	21.8460910320282	538.0	460.0
0.2	20220818 134604	0.0	False	12.404	15	15	STOP REMOTE	89.8142	22.479851961135864	538.0	460.0
0.2	20220818 134604	0.0	False	14.042	15	15	STOP REMOTE	89.8142	23.036244869232178	538.0	460.0
0.1	20220818 134604	0.0	False	14.042	15	15	STOP REMOTE	89.8142	23.2697536945343	538.0	460.0
0.1	20220818 134605	0.0	False	13.93	15	15	STOP REMOTE	89.8142	23.708963871002197	538.0	460.0
0.2	20220818 134605	0.0	False	13.93	15	15	STOP REMOTE	89.8142	24.148767948150635	538.0	460.0
0.2	20220818 134605	0.0	False	13.429	15	15	STOP REMOTE	89.8142	24.17670178413391	538.0	460.0
0.2	20220818 134606	0.0	False	10.833	15	15	STOP REMOTE	89.8142	24.822826862335205	538.0	460.0
0.1	20220818 134606	0.0	False	10.833	15	15	STOP REMOTE	89.8142	24.96274185180664	538.0	460.0
0.1	20220818 134606	0.0	False	13.355	15	15	STOP REMOTE	89.8142	25.326433897018433	538.0	460.0
0.2	20220818 134607	0.0	False	13.355	15	15	STOP REMOTE	89.8142	25.674356937408447	538.0	460.0
0.2	20220818 134607	0.0	False	14.027	15	15	STOP REMOTE	89.8142	25.83434796333313	538.0	460.0
0.2	20220818 134608	0.0	False	11.308	15	15	STOP REMOTE	89.8142	26.49116587638855	538.0	460.0
0.2	20220818 134608	0.0	False	14.186	15	15	STOP REMOTE	89.8142	27.11589503288269	538.0	460.0
0.1	20220818 134609	0.0	False	14.186	15	15	STOP REMOTE	89.8142	27.42801308631897	538.0	460.0
0.1	20220818 134609	0.0	False	13.309	15	15	STOP REMOTE	89.8142	27.759236812591553	538.0	460.0
0.2	20220818 134609	0.0	False	13.309	15	15	STOP REMOTE	89.8142	28.283323764801025	538.0	460.0
0.2	20220818 134610	0.0	False	12.465	15	15	STOP REMOTE	89.8142	28.38349986076355	538.0	460.0
0.2	20220818 134610	0.0	False	10.603	15	15	STOP REMOTE	89.8142	28.869491815567017	538.0	460.0
0.1	20220818 134610	0.0	False	10.603	15	15	STOP REMOTE	89.8142	29.338947772979736	538.0	460.0
0.1	20220818 134611	0.0	False	10.871	15	15	STOP REMOTE	89.8142	29.442591905593872	538.0	460.0
0.1	20220818 134611	0.0	False	12.15	15	15	STOP REMOTE	89.8142	30.10879683494568	538.0	460.0
0.1	20220818 134612	0.0	False	11.716	15	15	STOP REMOTE	89.8142	30.568898677825928	538.0	460.0
0.1	20220818 134612	0.0	False	12.855	15	15	STOP REMOTE	89.8142	31.066820859909058	538.0	460.0
0.1	20220818 134613	0.0	False	12.674	15	15	STOP REMOTE	89.8142	31.690623998641968	538.0	460.0
0.1	20220818 134613	0.0	False	12.922	15	15	STOP REMOTE	89.8142	32.2633159160614	538.0	460.0
0.1	20220818 134614	0.0	False	13.199	15	15	STOP REMOTE	89.8142	32.848164796829224	538.0	460.0
0.1	20220818 134614	0.0	False	12.415	15	15	STOP REMOTE	89.8142	33.329913854599	538.0	460.0
0.1	20220818 134615	0.0	False	12.992	15	15	STOP REMOTE	89.8142	33.89631676673889	538.0	460.0
0.2	20220818 134616	0.0	False	12.992	15	15	STOP REMOTE	89.8142	34.37977981567383	538.0	460.0
0.2	20220818 134616	0.0	False	12.952	15	15	STOP REMOTE	89.8142	34.483330726623535	538.0	460.0
0.1	20220818 134616	0.0	False	12.952	15	15	STOP REMOTE	89.8142	34.98451471328735	538.0	460.0
0.1	20220818 134616	0.0	False	13.373	15	15	STOP REMOTE	89.8142	35.0128870010376	538.0	460.0
0.1	20220818 134617	0.0	False	13.048	15	15	STOP REMOTE	89.8142	35.550620794296265	538.0	460.0
0.2	20220818 134617	0.0	False	13.048	15	15	STOP REMOTE	89.8142	35.76987290382385	538.0	460.0
0.2	20220818 134617	0.0	False	15.189	15	15	STOP REMOTE	89.8142	36.12605285644531	538.0	460.0
0.1	20220818 134617	0.0	False	15.189	15	15	STOP REMOTE	89.8142	36.34096693992615	538.0	460.0
0.1	20220818 134618	0.0	False	13.357	15	15	STOP REMOTE	89.8142	36.66369891166687	538.0	460.0
0.1	20220818 134618	0.0	False	12.664	15	15	STOP REMOTE	89.8142	37.09723687171936	538.0	460.0
0.1	20220818 134619	0.0	False	15.132	15	15	STOP REMOTE	89.8142	37.55679368972778	538.0	460.0
0.1	20220818 134619	0.0	False	14.3	15	15	STOP REMOTE	89.8142	38.131072998046875	538.0	460.0
0.1	20220818 134620	0.0	False	14.525	15	15	STOP REMOTE	89.8142	38.60455083847046	538.0	460.0
0.1	20220818 134620	0.0	False	13.803	15	15	STOP REMOTE	89.8142	39.26088881492615	538.0	460.0
0.1	20220818 134621	0.0	False	12.343	15	15	STOP REMOTE	89.8142	39.98068284988403	538.0	460.0
0.2	20220818 134622	0.0	False	12.343	15	15	STOP REMOTE	89.8142	40.36648178100586	538.0	460.0
0.2	20220818 134622	0.0	False	13.041	15	15	STOP REMOTE	89.8142	40.536027908325195	538.0	460.0
0.1	20220818 134622	0.0	False	13.041	15	15	STOP REMOTE	89.8142	41.07820177078247	538.0	460.0
0.1	20220818 134622	0.0	False	13.353	15	15	STOP REMOTE	89.8142	41.10744595527649	538.0	460.0
0.1	20220818 134623	0.0	False	11.895	15	15	STOP REMOTE	89.8142	41.668009996414185	538.0	460.0
0.1	20220818 134623	0.0	False	11.663	15	15	STOP REMOTE	89.8142	42.30160474777222	538.0	460.0
0.1	20220818 134624	0.0	False	12.441	15	15	STOP REMOTE	89.8142	42.823384046554565	538.0	460.0
0.1	20220818 134625	0.0	False	14.823	15	15	STOP REMOTE	89.8142	43.483277797698975	538.0	460.0
