N	Nu	chi2	comment	d	dof	eta1	offs	q	rhor	scal	sigC	sigH	zH	shot	time	N_err	Nu_err	d_err	eta1_err	offs_err	rhor_err	scal_err	sigC_err	zH_err
25.0	0.0	60650765.08244384	[]	73.5110272442175	494.0	0.1705745950362801	0.0	@->X	-3.203480490401257	1.7777038317746243e-06	1.892764901775045	3.0	7.815754272138729	S3_PEO_12C_133MPa_X2_Y6_mcg.par	20220202 150029									
24.84875504316554	3.581565952473515e-08	30627280.84448852	[]	79.75643790415249	491.0	0.1559814127052752	0.0651982943780992	@->X	-2.5169121313532496	2.154154001879139e-06	1.839411257276374	3.0	7.002411881751024	S3_PEO_12C_177MPa_X2_Y8_mcg.par	20220202 145922	118.39935781751964	0.2316228276977232	1.0819161524128778	0.0346305057850164	0.0729524215607854	5.693704602315275	1.0142335892824716e-05	4.6297489607107885	2.3248556280969277
25.0	0.0	7411191.377604857	[]	62.41308479287335	494.0	0.2800864904797844	0.0	@->X	-0.4016719154566532	2.0021796243233416e-06	-3.272101488812808	3.0	19.544687906702464	S3_PEO_08C_088MPa_X1_Y4_mcg.par	20220202 145907									
23.514303472715977	8.373925522937365e-07	5007636.128431912	[]	80.94022051234214	491.0	0.1598806365121289	0.2867577105607476	@->X	-1.7761138169650992	1.2821552221346666e-06	2.0191260388253918	3.0	7.163908621769557	S3_PEO_12C_200MPa_X2_Y9_mcg.par	20220202 150017	27.904901521172008	1.5386644312411255	0.7548559011661817	0.0354185153749253	0.0223035819804761	3.35713027661487	2.070891859519339e-06	4.660118736041707	1.881896777512422
2.607166297157232	0.0	2552073.7807845483	[]	67.99769341568896	492.0	0.0730076666152885	0.4295604261022702	@->X	-2.3837123898195127	-3.879353122456584e-07	-2.7292629540553817	3.0	11.622177336265036	S3_PEO_12C_000MPa_X2_Y0_mcg.par	20220202 145921									
24.038975757191903	1.140914969651075e-07	1783195.6707528543	[]	85.51192167455274	491.0	0.1465558195125258	0.0798490518631082	@->X	-1.996134081777717	1.3050985229550918e-06	1.9060169030775365	3.0	6.800126298152222	S3_PEO_08C_177MPa_X1_Y8_mcg.par	20220202 150104	28.60285754073453	0.3799266955099467	0.7796276430907649	0.0351710043950301	0.0274341049494276	4.0682569732454885	2.1841450788512946e-06	4.634500967462759	2.0307687819519207
24.195893959096185	1.6786653700234635e-06	1738622.0942355045	[]	90.32493456923014	491.0	0.1338838255605808	0.0875783006835727	@->X	-2.1416534678391432	1.075248946489208e-06	1.8428223457942048	3.0	7.01285223388119	S3_PEO_08C_111MPa_X1_Y5_mcg.par	20220202 150059	40.06096208414698	3.5257079518966123	0.9935737508769026	0.0312758389432266	0.0276843990348972	4.860879493871991	2.1975674418777496e-06	4.827876856835687	2.058796364471313
23.887907719412908	3.388631478079391e-07	1664302.7506580583	[]	88.16285211121802	491.0	0.1421116807824712	0.1022103537569535	@->X	-1.4119354772817274	9.192691899099632e-07	2.591016816130676	3.0	7.831021423294125	S3_PEO_08C_133MPa_X1_Y6_mcg.par	20220202 145918	38.469544602462776	0.8724988235124883	0.9725313625458132	0.0321041744909975	0.0116327169244512	2.218691024353649	1.8985013949465416e-06	5.273921710844625	2.0820648097312326
23.781306368196407	7.18194608398629e-07	1407064.9899420105	[]	83.59018573431857	491.0	0.1451136253957371	0.0959306440769957	@->X	-1.8251536406815176	1.401605024241592e-06	2.136752803117982	3.0	6.442439308444543	S3_PEO_08C_200MPa_X1_Y9_mcg.par	20220202 145926	26.28259573668377	1.6827860036981404	0.7229105521175152	0.0335786461013676	0.0229884592182031	3.170818940310269	2.7465280973261653e-06	4.709283852946177	2.3353472950513336
15.89224428512643	9.588915572177444e-06	1052930.0417531226	[]	64.70022523251836	491.0	0.2123338756450734	0.3795105162068142	@->X	-2.6061291074768755	4.949799484380446e-07	2.6924565907811124	3.0	6.412656231984921	S3_PEO_12C_088MPa_X2_Y4_mcg.par	20220202 145957	9.590281096552248	4.1479010051476655	0.3810633977265805	0.0346978239685214	0.0102363017834569	6.773568501271695	2.287841027218158e-06	6.166861297623057	4.913502228538099
23.229636661320413	1.7609315127027103e-06	865341.1247997289	[]	66.81686855208426	491.0	0.1974652212393708	0.1347101381167624	@->X	-2.478486939528751	6.679406837366279e-07	2.4362755973458845	3.0	6.3603070752942505	S3_PEO_16C_066MPa_X3_Y3_mcg.par	20220202 150038	43.410594460975126	3.4111646562356914	0.5491961904577659	0.0365242509165719	0.0175652355679376	4.963898979620532	2.23429958283215e-06	4.89997851890628	3.57541235172299
12.242802308208873	2.3699855073720967e-06	840501.6047540338	[]	64.81592090593497	491.0	0.268336966104027	0.3908932202017239	@->X	-2.298472895521161	6.386401634413232e-07	3.017274857255276	3.0	6.205126780930522	S3_PEO_12C_111MPa_X2_Y5_mcg.par	20220202 145912	8.415432234511579	2.043291275041564	0.6924373843926024	0.0524067124120313	0.0076628596508343	8.569116798395328	5.00375434760071e-06	9.722674269197586	7.077040843276465
