P_act	P_set	T_act	T_ext	T_int	T_set	air	clock	dewpt	dht_H	dht_T	intensity	mlx_amb	mlx_inf	msg	n_read	shutter	slit_em	slit_ex	state	time	vol	watch	wl_em	wl_ex
621.9	625.0	1.04	6.25	0.59	0	True	20220616 133103	8.8	54.0	18.0	-1.581	21.61	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	False	13.720638990402222	440	410
586.6	625.0	1.04	6.24	0.59	0	True	20220616 133103	8.8	54.0	18.0	0.136	21.61	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.3187	14.23744010925293	440.0	410.0
586.6	625.0	1.04	6.24	0.59	0	True	20220616 133103	8.8	54.0	18.0	-0.311	21.59	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.3187	14.271245241165161	440.0	410.0
596.7	625.0	1.05	6.24	0.6	0	True	20220616 133103	8.8	54.0	18.0	-0.203	21.59	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.2622	14.547588109970093	440.0	410.0
603.3	625.0	1.05	6.24	0.6	0	True	20220616 133104	8.8	54.0	18.0	-0.803	21.59	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.2259	14.83166217803955	440.0	410.0
609.9	625.0	1.05	6.24	0.6	0	True	20220616 133104	8.8	54.0	18.0	0.976	21.59	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1891	15.106045007705688	440.0	410.0
618.5	625.0	1.05	6.24	0.6	0	True	20220616 133104	8.8	54.0	18.0	0.433	21.59	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1411	15.383634328842163	440.0	410.0
620.6	625.0	1.05	6.24	0.6	0	True	20220616 133105	8.8	54.0	18.0	0.545	21.59	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1282	15.653398036956787	440.0	410.0
622.1	625.0	1.05	6.24	0.6	0	True	20220616 133105	8.8	54.0	18.0	0.764	21.59	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1199	15.927731037139893	440.0	410.0
623.0	625.0	1.05	6.24	0.6	0	True	20220616 133105	8.8	54.0	18.0	-0.727	21.59	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1141	16.2034592628479	440.0	410.0
623.7	625.0	1.05	6.24	0.6	0	True	20220616 133105	8.8	54.0	18.0	-0.769	21.59	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1101	16.469321966171265	440.0	410.0
624.5	625.0	1.05	6.24	0.6	0	True	20220616 133106	8.8	54.0	18.0	0.12	21.59	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.106	16.73648428916931	440.0	410.0
624.5	625.0	1.05	6.24	0.6	0	True	20220616 133106	8.8	54.0	18.0	0.649	21.59	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.105	17.008573055267334	440.0	410.0
625.0	625.0	1.05	6.24	0.6	0	True	20220616 133106	8.8	54.0	18.0	-0.334	21.59	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1041	17.28626823425293	440.0	410.0
625.0	625.0	1.05	6.24	0.6	0	True	20220616 133106	8.8	54.0	18.0	2.565	21.59	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1035	17.56464719772339	440.0	410.0
625.0	625.0	1.05	6.23	0.6	0	True	20220616 133107	8.8	54.0	18.0	0.007	21.59	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1027	17.849524974822998	440.0	410.0
625.0	625.0	1.05	6.23	0.6	0	True	20220616 133107	8.8	54.0	18.0	-0.427	21.59	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.103	18.14442801475525	440.0	410.0
625.0	625.0	1.05	6.23	0.6	0	True	20220616 133107	8.8	54.0	18.0	-1.164	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1034	18.425251245498657	440.0	410.0
625.0	625.0	1.05	6.24	0.6	0	True	20220616 133108	8.8	54.0	18.0	-1.011	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1038	18.692304134368896	440.0	410.0
625.0	625.0	1.05	6.24	0.6	0	True	20220616 133108	8.8	54.0	18.0	-0.551	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.104	18.960621118545532	440.0	410.0
625.0	625.0	1.05	6.24	0.6	0	True	20220616 133108	8.8	54.0	18.0	-0.473	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1042	19.252104997634888	440.0	410.0
625.0	625.0	1.05	6.24	0.6	0	True	20220616 133108	8.8	54.0	18.0	-0.514	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1045	19.525901079177856	440.0	410.0
625.0	625.0	1.05	6.24	0.6	0	True	20220616 133109	8.8	54.0	18.0	0.068	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1047	19.794297218322754	440.0	410.0
625.0	625.0	1.05	6.24	0.6	0	True	20220616 133109	8.8	54.0	18.0	0.304	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.104	20.06135606765747	440.0	410.0
625.0	625.0	1.05	6.24	0.6	0	True	20220616 133109	8.8	54.0	18.0	-0.18	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1033	20.3283851146698	440.0	410.0
625.0	625.0	1.06	6.24	0.61	0	True	20220616 133110	8.8	54.0	18.0	-1.008	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1024	20.600056171417236	440.0	410.0
625.0	625.0	1.05	6.24	0.6	0	True	20220616 133110	8.8	54.0	18.0	-0.569	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1017	20.867046117782593	440.0	410.0
625.0	625.0	1.05	6.24	0.6	0	True	20220616 133110	8.8	54.0	18.0	-0.586	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1006	21.133153200149536	440.0	410.0
625.0	625.0	1.05	6.24	0.6	0	True	20220616 133110	8.8	54.0	18.0	-0.008	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1003	21.403683185577393	440.0	410.0
625.0	625.0	1.05	6.24	0.6	0	True	20220616 133111	8.8	54.0	18.0	-0.816	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1001	21.67721700668335	440.0	410.0
625.0	625.0	1.05	6.24	0.6	0	True	20220616 133111	8.8	54.0	18.0	-0.317	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1	21.953444242477417	440.0	410.0
625.0	625.0	1.05	6.24	0.6	0	True	20220616 133111	8.8	54.0	18.0	-0.101	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.0998	22.228050231933594	440.0	410.0
625.4	625.0	1.06	6.24	0.61	0	True	20220616 133111	8.8	54.0	18.0	-1.37	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1003	22.505147218704224	440.0	410.0
625.4	625.0	1.06	6.24	0.61	0	True	20220616 133112	8.8	54.0	18.0	-0.642	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1011	22.7810001373291	440.0	410.0
625.4	625.0	1.06	6.24	0.61	0	True	20220616 133112	8.8	54.0	18.0	-0.902	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	False	23.05202007293701	440.0	410.0
625.0	625.0	1.05	6.24	0.6	0	True	20220616 133112	8.8	54.0	18.0	-0.804	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1027	23.333210229873657	440.0	410.0
625.0	625.0	1.05	6.24	0.6	0	True	20220616 133113	8.8	54.0	18.0	0.203	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1041	23.612077236175537	440.0	410.0
625.0	625.0	1.05	6.24	0.6	0	True	20220616 133113	8.8	54.0	18.0	-0.177	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.1048	23.88620114326477	440.0	410.0
625.0	625.0	1.05	6.24	0.6	0	True	20220616 133113	8.8	54.0	18.0	-1.15	21.51	7.19	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.105	24.157836198806763	440.0	410.0
625.0	625.0	1.05	6.23	0.6	0	True	20220616 133113	8.5	53.0	17.9	-0.974	21.49	7.37	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.105	24.42385220527649	440.0	410.0
625.0	625.0	1.05	6.23	0.6	0	True	20220616 133114	8.5	53.0	17.9	-0.348	21.49	7.37	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	600	98.105	24.689134120941162	440.0	410.0
