P_act	P_set	T_act	T_ext	T_int	T_set	air	clock	dewpt	dht_H	dht_T	intensity	mlx_amb	mlx_inf	msg	n_read	shutter	slit_em	slit_ex	state	time	vol	watch	wl_em	wl_ex
60.6	62.5	0.66	5.91	0.2	0	True	20220616 141227	8.3	53.0	17.7	-0.052	21.69	7.37	tdir:up_pdir:up_rep:0_cyc:0	7	None	3	3	73	60	101.4526	12.727696180343628	440	410
62.1	62.5	0.66	5.92	0.2	0	True	20220616 141227	8.3	53.0	17.7	0.192	21.69	7.37	tdir:up_pdir:up_rep:0_cyc:0	7	None	3	3	73	60	101.4541	13.294281005859375	440.0	410.0
62.5	62.5	0.66	5.92	0.2	0	True	20220616 141228	8.2	53.0	17.6	0.496	21.63	7.37	tdir:up_pdir:up_rep:0_cyc:0	7	None	3	3	73	60	101.453	13.539719343185425	440.0	410.0
62.5	62.5	0.66	5.92	0.21	0	True	20220616 141228	8.2	53.0	17.6	0.189	21.63	7.37	tdir:up_pdir:up_rep:0_cyc:0	7	None	3	3	73	60	101.4526	13.808471202850342	440.0	410.0
62.5	62.5	0.67	5.91	0.21	0	True	20220616 141228	8.2	53.0	17.6	-0.077	21.63	7.37	tdir:up_pdir:up_rep:0_cyc:0	7	None	3	3	73	60	101.4523	14.080744981765747	440.0	410.0
62.5	62.5	0.67	5.91	0.21	0	True	20220616 141228	8.2	53.0	17.6	0.07	21.63	7.37	tdir:up_pdir:up_rep:0_cyc:0	7	None	3	3	73	60	101.452	14.365421056747437	440.0	410.0
62.5	62.5	0.67	5.91	0.21	0	True	20220616 141229	8.2	53.0	17.6	0.302	21.63	7.37	tdir:up_pdir:up_rep:0_cyc:0	7	None	3	3	73	60	101.4514	14.640428066253662	440.0	410.0
62.5	62.5	0.67	5.91	0.21	0	True	20220616 141229	8.2	53.0	17.6	0.158	21.63	7.37	tdir:up_pdir:up_rep:0_cyc:0	7	None	3	3	73	60	101.4512	14.912789106369019	440.0	410.0
62.5	62.5	0.67	5.91	0.21	0	True	20220616 141229	8.2	53.0	17.6	0.576	21.63	7.37	tdir:up_pdir:up_rep:0_cyc:0	7	None	3	3	73	60	101.4511	15.185644149780273	440.0	410.0
62.5	62.5	0.67	5.91	0.21	0	True	20220616 141230	8.2	53.0	17.6	0.526	21.63	7.37	tdir:up_pdir:up_rep:0_cyc:0	7	None	3	3	73	60	101.4514	15.486258268356323	440.0	410.0
62.5	62.5	0.67	5.91	0.2	0	True	20220616 141230	8.2	53.0	17.6	-0.237	21.63	7.37	tdir:up_pdir:up_rep:0_cyc:0	7	None	3	3	73	60	101.4519	15.765465259552002	440.0	410.0
62.5	62.5	0.66	5.91	0.2	0	True	20220616 141230	8.2	53.0	17.6	0.344	21.63	7.37	tdir:up_pdir:up_rep:0_cyc:0	7	None	3	3	73	60	101.4521	16.036295175552368	440.0	410.0
62.5	62.5	0.66	5.91	0.2	0	True	20220616 141230	8.2	53.0	17.6	0.067	21.63	7.37	tdir:up_pdir:up_rep:0_cyc:0	7	None	3	3	73	60	101.4522	16.303317070007324	440.0	410.0
62.5	62.5	0.66	5.91	0.2	0	True	20220616 141231	8.2	53.0	17.6	0.442	21.63	7.37	tdir:up_pdir:up_rep:0_cyc:0	7	None	3	3	73	60	101.4523	16.58195400238037	440.0	410.0
62.5	62.5	0.66	5.91	0.2	0	True	20220616 141231	8.2	53.0	17.6	0.468	21.63	7.37	tdir:up_pdir:up_rep:0_cyc:0	7	None	3	3	73	60	101.4524	16.8503680229187	440.0	410.0
62.5	62.5	0.66	5.91	0.2	0	True	20220616 141231	8.2	53.0	17.6	-0.182	21.63	7.37	tdir:up_pdir:up_rep:0_cyc:0	7	None	3	3	73	60	101.4525	17.12043809890747	440.0	410.0
62.5	62.5	0.66	5.91	0.2	0	True	20220616 141231	8.2	53.0	17.6	-0.433	21.63	7.37	tdir:up_pdir:up_rep:0_cyc:0	7	None	3	3	73	60	101.4524	17.404312133789062	440.0	410.0
