P_act	P_set	T_act	T_ext	T_int	T_set	air	clock	dewpt	dht_H	dht_T	intensity	mlx_amb	mlx_inf	msg	n_read	shutter	slit_em	slit_ex	state	time	vol	watch	wl_em	wl_ex
250.0	250.0	0.98	5.97	0.53	0	True	20220616 135842	8.4	54.0	17.6	0.36	21.49	7.09	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2498	20.00196409225464	440.0	410.0
250.0	250.0	0.98	5.97	0.53	0	True	20220616 135842	8.4	54.0	17.6	0.084	21.49	7.09	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2506	20.282722234725952	440.0	410.0
250.0	250.0	0.97	5.97	0.52	0	True	20220616 135843	8.4	54.0	17.6	-0.384	21.49	7.09	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.251	20.576632261276245	440.0	410.0
250.0	250.0	0.97	5.97	0.52	0	True	20220616 135843	8.4	54.0	17.6	0.495	21.49	7.09	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2513	20.842782020568848	440.0	410.0
250.0	250.0	0.97	5.97	0.52	0	True	20220616 135843	8.4	54.0	17.6	-0.35	21.49	7.09	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2515	21.11462903022766	440.0	410.0
250.0	250.0	0.97	5.97	0.52	0	True	20220616 135843	8.4	54.0	17.6	0.59	21.49	7.09	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2517	21.38261604309082	440.0	410.0
250.0	250.0	0.97	5.97	0.52	0	True	20220616 135844	8.4	54.0	17.6	0.106	21.49	7.09	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2515	21.659472942352295	440.0	410.0
250.0	250.0	0.97	5.97	0.52	0	True	20220616 135844	8.4	54.0	17.6	0.14	21.49	7.09	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2509	21.937479972839355	440.0	410.0
250.0	250.0	0.97	5.97	0.53	0	True	20220616 135844	8.4	54.0	17.6	-0.441	21.49	7.09	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2499	22.226847171783447	440.0	410.0
250.0	250.0	0.98	5.97	0.53	0	True	20220616 135845	8.4	54.0	17.6	0.37	21.49	7.09	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2494	22.495042085647583	440.0	410.0
250.0	250.0	0.98	5.97	0.53	0	True	20220616 135845	8.4	54.0	17.6	0.269	21.49	7.09	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2489	22.768692016601562	440.0	410.0
250.0	250.0	0.98	5.97	0.53	0	True	20220616 135845	8.4	54.0	17.6	0.254	21.49	7.09	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2484	23.03580093383789	440.0	410.0
250.0	250.0	0.98	5.97	0.53	0	True	20220616 135845	8.4	54.0	17.6	-0.266	21.49	7.09	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2479	23.31078314781189	440.0	410.0
250.0	250.0	0.98	5.97	0.53	0	True	20220616 135846	8.4	54.0	17.6	0.046	21.49	7.09	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2471	23.579463005065918	440.0	410.0
250.0	250.0	0.97	5.97	0.52	0	True	20220616 135846	8.4	54.0	17.6	0.361	21.49	7.09	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2471	23.863687992095947	440.0	410.0
250.0	250.0	0.97	5.97	0.52	0	True	20220616 135846	8.4	54.0	17.6	-0.262	21.49	7.09	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2477	24.14837622642517	440.0	410.0
250.0	250.0	0.97	5.97	0.52	0	True	20220616 135846	8.3	54.0	17.5	0.164	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2483	24.431531190872192	440.0	410.0
250.0	250.0	0.97	5.97	0.52	0	True	20220616 135847	8.3	54.0	17.5	-0.279	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2488	24.70250701904297	440.0	410.0
250.0	250.0	0.97	5.97	0.52	0	True	20220616 135847	8.3	54.0	17.5	0.489	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2489	24.978457927703857	440.0	410.0
250.0	250.0	0.97	5.97	0.52	0	True	20220616 135847	8.3	54.0	17.5	0.645	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2489	25.247576236724854	440.0	410.0
250.0	250.0	0.97	5.97	0.52	0	True	20220616 135848	8.3	54.0	17.5	0.078	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	25.553853034973145	440.0	410.0
250.0	250.0	0.97	5.97	0.52	0	True	20220616 135848	8.3	54.0	17.5	-0.203	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	25.828169107437134	440.0	410.0
250.0	250.0	0.97	5.97	0.52	0	True	20220616 135848	8.3	54.0	17.5	-0.026	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	26.10054302215576	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135848	8.3	54.0	17.5	0.101	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	26.383405208587646	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135849	8.3	54.0	17.5	-0.205	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	26.653319120407104	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135849	8.3	54.0	17.5	-0.209	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	26.92578411102295	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135849	8.3	54.0	17.5	0.613	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	27.194772005081177	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135849	8.3	54.0	17.5	0.011	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	27.462682962417603	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135850	8.3	54.0	17.5	0.216	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	27.730530261993408	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135850	8.3	54.0	17.5	-0.063	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	28.002360105514526	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135850	8.3	54.0	17.5	-0.156	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	28.28328514099121	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135851	8.3	54.0	17.5	0.131	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	28.553101062774658	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135851	8.3	54.0	17.5	0.302	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	28.82662296295166	440.0	410.0
250.0	250.0	0.96	5.96	0.51	0	True	20220616 135851	8.3	54.0	17.5	-0.047	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	29.096390962600708	440.0	410.0
250.0	250.0	0.96	5.96	0.51	0	True	20220616 135851	8.3	54.0	17.5	0.146	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	29.3658230304718	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135852	8.3	54.0	17.5	0.035	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	29.651040077209473	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135852	8.3	54.0	17.5	-0.397	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	29.93315315246582	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135852	8.3	54.0	17.5	0.282	21.43	7.33	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	30.206995964050293	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135853	8.5	55.0	17.5	-0.742	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	30.491384267807007	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135853	8.5	55.0	17.5	-0.441	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	30.76460909843445	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135853	8.5	55.0	17.5	0.002	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	31.049923181533813	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135853	8.5	55.0	17.5	-0.363	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	31.335216999053955	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135854	8.5	55.0	17.5	0.399	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	31.6151921749115	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135854	8.5	55.0	17.5	0.111	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	31.893512964248657	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135854	8.5	55.0	17.5	-0.037	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2491	32.17089319229126	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135854	8.5	55.0	17.5	0.569	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.249	32.44004011154175	440.0	410.0
250.0	250.0	0.97	5.96	0.52	0	True	20220616 135855	8.5	55.0	17.5	0.403	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2487	32.709969997406006	440.0	410.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135855	8.5	55.0	17.5	0.492	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2483	32.98185396194458	440.0	410.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135855	8.5	55.0	17.5	-0.024	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2482	33.24884510040283	440.0	410.0
250.0	250.0	0.97	5.95	0.52	0	True	20220616 135856	8.5	55.0	17.5	0.131	21.45	7.45	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.248	33.52076292037964	440.0	410.0
