P_act	P_set	T_act	T_ext	T_int	T_set	air	clock	dewpt	dht_H	dht_T	intensity	mlx_amb	mlx_inf	msg	n_read	shutter	slit_em	slit_ex	state	time	vol	watch	wl_em	wl_ex
625.1	625.0	4.42	10.57	4.1	5	True	20220719 162628	10.5	53.0	19.9	-0.122	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	133	1800	96.2504	14.22638988494873	440	410
496.8	625.0	4.42	10.57	4.1	5	True	20220719 162628	10.5	53.0	19.9	0.042	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	133	1800	96.9578	14.716228008270264	440.0	410.0
496.8	625.0	4.42	10.57	4.1	5	True	20220719 162628	10.5	53.0	19.9	0.09	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	133	1800	96.9578	14.849896907806396	440.0	410.0
507.1	625.0	4.42	10.57	4.1	5	True	20220719 162628	10.5	53.0	19.9	0.161	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	133	1800	96.9034	15.118228912353516	440.0	410.0
513.6	625.0	4.42	10.57	4.1	5	True	20220719 162629	10.5	53.0	19.9	-0.069	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	133	1800	96.8667	15.385272979736328	440.0	410.0
526.7	625.0	4.42	10.57	4.1	5	True	20220719 162629	10.5	53.0	19.9	-0.198	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	133	1800	96.7939	15.66934585571289	440.0	410.0
533.2	625.0	4.42	10.57	4.1	5	True	20220719 162629	10.5	53.0	19.9	-0.063	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	133	1800	96.7587	15.951973915100098	440.0	410.0
539.0	625.0	4.42	10.57	4.1	5	True	20220719 162630	10.5	53.0	19.9	-0.206	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	133	1800	96.727	16.23618984222412	440.0	410.0
552.2	625.0	4.42	10.57	4.1	5	True	20220719 162630	10.5	53.0	19.9	0.08	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	133	1800	96.6538	16.502229928970337	440.0	410.0
558.7	625.0	4.42	10.57	4.1	5	True	20220719 162630	10.5	53.0	19.9	-0.442	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	133	1800	96.6187	16.768391847610474	440.0	410.0
565.3	625.0	4.42	10.57	4.1	5	True	20220719 162630	10.5	53.0	19.9	-0.307	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	133	1800	96.5824	17.04197907447815	440.0	410.0
571.8	625.0	4.42	10.57	4.1	5	True	20220719 162631	10.5	53.0	19.9	-0.365	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	133	1800	96.5458	17.30918002128601	440.0	410.0
578.4	625.0	4.42	10.57	4.1	5	True	20220719 162631	10.5	53.0	19.9	-0.434	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	133	1800	96.5112	17.582348823547363	440.0	410.0
591.5	625.0	4.43	10.57	4.11	5	True	20220719 162631	10.5	53.0	19.9	-0.27	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	133	1800	96.438	17.857560873031616	440.0	410.0
597.4	625.0	4.43	10.57	4.11	5	True	20220719 162631	10.5	53.0	19.9	-0.229	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	133	1800	96.4062	18.13134789466858	440.0	410.0
603.9	625.0	4.43	10.57	4.11	5	True	20220719 162632	10.5	53.0	19.9	-0.143	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	133	1800	96.3714	18.404075860977173	440.0	410.0
610.7	625.0	4.43	10.57	4.11	5	True	20220719 162632	10.5	53.0	19.9	-0.109	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	133	1800	96.3349	18.679194927215576	440.0	410.0
618.5	625.0	4.44	10.57	4.12	5	True	20220719 162632	10.5	53.0	19.9	-0.233	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	133	1800	96.2895	18.951509952545166	440.0	410.0
620.8	625.0	4.44	10.57	4.12	5	True	20220719 162633	10.5	53.0	19.9	-0.325	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	133	1800	96.2766	19.24107003211975	440.0	410.0
622.1	625.0	4.44	10.57	4.12	5	True	20220719 162633	10.5	53.0	19.9	-0.564	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	133	1800	96.2686	19.515277862548828	440.0	410.0
