GP values	GP values (GFactor-corrected)	Counts (Pixels)	Counts (Pixels, Normalized)	Counts (Kernel-Smoothed)	Counts (Smoothed, Normalized)
-1	-1	0	0	1	7.6416E-7
-0.98	-0.98	2	1.5283E-6	16	0.00001223
-0.96	-0.96	46	0.00003515	82.3333	0.00006292
-0.94	-0.94	199	0.0001521	218.6667	0.0001671
-0.92	-0.92	411	0.0003141	498.6667	0.0003811
-0.9	-0.9	886	0.000677	944	0.0007214
-0.88	-0.88	1535	0.001173	1587.3333	0.001213
-0.86	-0.86	2341	0.001789	2413.6667	0.001844
-0.84	-0.84	3365	0.002571	3351	0.002561
-0.82	-0.82	4347	0.003322	4338.6667	0.003315
-0.8	-0.8	5304	0.004053	5341	0.004081
-0.78	-0.78	6372	0.004869	6410.6667	0.004899
-0.76	-0.76	7556	0.005774	7437.3333	0.005683
-0.74	-0.74	8384	0.006407	8417	0.006432
-0.72	-0.72	9311	0.007115	9292.6667	0.007101
-0.7	-0.7	10183	0.007781	10122.6667	0.007735
-0.68	-0.68	10874	0.008309	10901.6667	0.008331
-0.66	-0.66	11648	0.008901	11541.3333	0.008819
-0.64	-0.64	12102	0.009248	12184	0.009311
-0.62	-0.62	12802	0.009783	12619	0.009643
-0.6	-0.6	12953	0.009898	13122.3333	0.01003
-0.58	-0.58	13612	0.0104	13483	0.0103
-0.56	-0.56	13884	0.01061	13966.3333	0.01067
-0.54	-0.54	14403	0.01101	14321.6667	0.01094
-0.52	-0.52	14678	0.01122	14781.6667	0.0113
-0.5	-0.5	15264	0.01166	15061.3333	0.01151
-0.48	-0.48	15242	0.01165	15376.6667	0.01175
-0.46	-0.46	15624	0.01194	15592.3333	0.01192
-0.44	-0.44	15911	0.01216	15902.3333	0.01215
-0.42	-0.42	16172	0.01236	16064.3333	0.01228
-0.4	-0.4	16110	0.01231	16266	0.01243
-0.38	-0.38	16516	0.01262	16347.3333	0.01249
-0.36	-0.36	16416	0.01254	16434	0.01256
-0.34	-0.34	16370	0.01251	16462.3333	0.01258
-0.32	-0.32	16601	0.01269	16313.6667	0.01247
-0.3	-0.3	15970	0.0122	16134	0.01233
-0.28	-0.28	15831	0.0121	15802	0.01208
-0.26	-0.26	15605	0.01192	15613	0.01193
-0.24	-0.24	15403	0.01177	15429.3333	0.01179
-0.22	-0.22	15280	0.01168	15135	0.01157
-0.2	-0.2	14722	0.01125	14744.3333	0.01127
-0.18	-0.18	14231	0.01087	14228.6667	0.01087
-0.16	-0.16	13733	0.01049	13838.3333	0.01057
-0.14	-0.14	13551	0.01036	13411	0.01025
-0.12	-0.12	12949	0.009895	13006.3333	0.009939
-0.1	-0.1	12519	0.009567	12417	0.009489
-0.08	-0.08	11783	0.009004	11981.3333	0.009156
-0.06	-0.06	11642	0.008896	11543.3333	0.008821
-0.04	-0.04	11205	0.008562	11161	0.008529
-0.02	-0.02	10636	0.008128	10955.3333	0.008372
0	0	11025	0.008425	10646.3333	0.008135
0.02	0.02	10278	0.007854	10469.3333	0.008
0.04	0.04	10105	0.007722	10205	0.007798
0.06	0.06	10232	0.007819	10165.6667	0.007768
0.08	0.08	10160	0.007764	10226.6667	0.007815
0.1	0.1	10288	0.007862	10303.3333	0.007873
0.12	0.12	10462	0.007995	10517.6667	0.008037
0.14	0.14	10803	0.008255	10702.3333	0.008178
0.16	0.16	10842	0.008285	10958.6667	0.008374
0.18	0.18	11231	0.008582	11490	0.00878
0.2	0.2	12397	0.009473	12165.3333	0.009296
0.22	0.22	12868	0.009833	12986.6667	0.009924
0.24	0.24	13695	0.01047	13785.3333	0.01053
0.26	0.26	14793	0.0113	14730	0.01126
0.28	0.28	15702	0.012	15955.6667	0.01219
0.3	0.3	17372	0.01327	17236.6667	0.01317
0.32	0.32	18636	0.01424	18654	0.01425
0.34	0.34	19954	0.01525	19939.6667	0.01524
0.36	0.36	21229	0.01622	21151.6667	0.01616
0.38	0.38	22272	0.01702	22593.3333	0.01726
0.4	0.4	24279	0.01855	23809.6667	0.01819
0.42	0.42	24878	0.01901	24968	0.01908
0.44	0.44	25747	0.01967	25711	0.01965
0.46	0.46	26508	0.02026	26200	0.02002
0.48	0.48	26345	0.02013	26809	0.02049
0.5	0.5	27574	0.02107	26821	0.0205
0.52	0.52	26544	0.02028	26778.6667	0.02046
0.54	0.54	26218	0.02003	26188	0.02001
0.56	0.56	25802	0.01972	25358	0.01938
0.58	0.58	24054	0.01838	24558	0.01877
0.6	0.6	23818	0.0182	23241	0.01776
0.62	0.62	21851	0.0167	21900	0.01674
0.64	0.64	20031	0.01531	20181.3333	0.01542
0.66	0.66	18662	0.01426	18690.3333	0.01428
0.68	0.68	17378	0.01328	17209.3333	0.01315
0.7	0.7	15588	0.01191	15753.3333	0.01204
0.72	0.72	14294	0.01092	14364	0.01098
0.74	0.74	13210	0.01009	13261.6667	0.01013
0.76	0.76	12281	0.009385	12302	0.009401
0.78	0.78	11415	0.008723	11556.3333	0.008831
0.8	0.8	10973	0.008385	11066	0.008456
0.82	0.82	10810	0.008261	10610.3333	0.008108
0.84	0.84	10048	0.007678	10069	0.007694
0.86	0.86	9349	0.007144	9346.3333	0.007142
0.88	0.88	8642	0.006604	8347.6667	0.006379
0.9	0.9	7052	0.005389	6895.6667	0.005269
0.92	0.92	4993	0.003815	4893	0.003739
0.94	0.94	2634	0.002013	2816	0.002152
0.96	0.96	821	0.0006274	1188	0.0009078
0.98	0.98	109	0.00008329	465	0.0003553
